Date,Price,Quantity Sold,exterior,rarity
Aug 07 2020 01: +0,185.958,76,Field-Tested,Covert
Aug 08 2020 01: +0,146.261,70,Field-Tested,Covert
Aug 09 2020 01: +0,121.733,52,Field-Tested,Covert
Aug 10 2020 01: +0,108.906,71,Field-Tested,Covert
Aug 11 2020 01: +0,85.276,70,Field-Tested,Covert
Aug 12 2020 01: +0,81.042,67,Field-Tested,Covert
Aug 13 2020 01: +0,86.567,50,Field-Tested,Covert
Aug 14 2020 01: +0,93.521,55,Field-Tested,Covert
Aug 15 2020 01: +0,94.679,42,Field-Tested,Covert
Aug 16 2020 01: +0,81.427,70,Field-Tested,Covert
Aug 17 2020 01: +0,75.064,62,Field-Tested,Covert
Aug 18 2020 01: +0,74.896,60,Field-Tested,Covert
Aug 19 2020 01: +0,80.4,44,Field-Tested,Covert
Aug 20 2020 01: +0,74.358,60,Field-Tested,Covert
Aug 21 2020 01: +0,75.088,64,Field-Tested,Covert
Aug 22 2020 01: +0,73.769,66,Field-Tested,Covert
Aug 23 2020 01: +0,70.881,75,Field-Tested,Covert
Aug 24 2020 01: +0,66.704,59,Field-Tested,Covert
Aug 25 2020 01: +0,62.317,67,Field-Tested,Covert
Aug 26 2020 01: +0,61.784,70,Field-Tested,Covert
Aug 27 2020 01: +0,61.66,71,Field-Tested,Covert
Aug 28 2020 01: +0,61.007,64,Field-Tested,Covert
Aug 29 2020 01: +0,57.043,58,Field-Tested,Covert
Aug 30 2020 01: +0,61.168,73,Field-Tested,Covert
Aug 31 2020 01: +0,58.573,72,Field-Tested,Covert
Sep 01 2020 01: +0,59.168,59,Field-Tested,Covert
Sep 02 2020 01: +0,61.141,54,Field-Tested,Covert
Sep 03 2020 01: +0,59.131,66,Field-Tested,Covert
Sep 04 2020 01: +0,57.257,65,Field-Tested,Covert
Sep 05 2020 01: +0,59.003,73,Field-Tested,Covert
Sep 06 2020 01: +0,58.268,68,Field-Tested,Covert
Sep 07 2020 01: +0,56.001,62,Field-Tested,Covert
Sep 08 2020 01: +0,55.396,65,Field-Tested,Covert
Sep 09 2020 01: +0,55.153,70,Field-Tested,Covert
Sep 10 2020 01: +0,55.873,67,Field-Tested,Covert
Sep 11 2020 01: +0,55.404,62,Field-Tested,Covert
Sep 12 2020 01: +0,56.292,78,Field-Tested,Covert
Sep 13 2020 01: +0,58.5,66,Field-Tested,Covert
Sep 14 2020 01: +0,56.65,62,Field-Tested,Covert
Sep 15 2020 01: +0,56.426,59,Field-Tested,Covert
Sep 16 2020 01: +0,56.153,50,Field-Tested,Covert
Sep 17 2020 01: +0,55.445,69,Field-Tested,Covert
Sep 18 2020 01: +0,60.044,59,Field-Tested,Covert
Sep 19 2020 01: +0,59.553,63,Field-Tested,Covert
Sep 20 2020 01: +0,58.244,66,Field-Tested,Covert
Sep 21 2020 01: +0,57.383,59,Field-Tested,Covert
Sep 22 2020 01: +0,58.128,68,Field-Tested,Covert
Sep 23 2020 01: +0,56.08,71,Field-Tested,Covert
Sep 24 2020 01: +0,55.323,70,Field-Tested,Covert
Sep 25 2020 01: +0,54.367,74,Field-Tested,Covert
Sep 26 2020 01: +0,52.281,73,Field-Tested,Covert
Sep 27 2020 01: +0,50.345,73,Field-Tested,Covert
Sep 28 2020 01: +0,46.671,81,Field-Tested,Covert
Sep 29 2020 01: +0,44.691,84,Field-Tested,Covert
Sep 30 2020 01: +0,44.998,73,Field-Tested,Covert
Oct 01 2020 01: +0,47.114,79,Field-Tested,Covert
Oct 02 2020 01: +0,47.378,81,Field-Tested,Covert
Oct 03 2020 01: +0,48.467,83,Field-Tested,Covert
