Date,Price,Quantity Sold,exterior,rarity
May 02 2014 01: +0,96.151,4,Battle-Scarred,Covert
May 03 2014 01: +0,62.88,13,Battle-Scarred,Covert
May 04 2014 01: +0,54.745,15,Battle-Scarred,Covert
May 05 2014 01: +0,48.598,35,Battle-Scarred,Covert
May 06 2014 01: +0,42.662,20,Battle-Scarred,Covert
May 07 2014 01: +0,37.294,24,Battle-Scarred,Covert
May 08 2014 01: +0,42.13,36,Battle-Scarred,Covert
May 09 2014 01: +0,41.168,33,Battle-Scarred,Covert
May 10 2014 01: +0,38.11,28,Battle-Scarred,Covert
May 11 2014 01: +0,34.826,28,Battle-Scarred,Covert
May 12 2014 01: +0,29.078,36,Battle-Scarred,Covert
May 13 2014 01: +0,30.221,29,Battle-Scarred,Covert
May 14 2014 01: +0,30.8,38,Battle-Scarred,Covert
May 15 2014 01: +0,30.938,37,Battle-Scarred,Covert
May 16 2014 01: +0,34.593,30,Battle-Scarred,Covert
May 17 2014 01: +0,34.455,21,Battle-Scarred,Covert
May 18 2014 01: +0,26.982,35,Battle-Scarred,Covert
May 19 2014 01: +0,28.745,25,Battle-Scarred,Covert
May 20 2014 01: +0,27.321,35,Battle-Scarred,Covert
May 21 2014 01: +0,30.337,31,Battle-Scarred,Covert
May 22 2014 01: +0,31.438,27,Battle-Scarred,Covert
May 23 2014 01: +0,28.86,34,Battle-Scarred,Covert
May 24 2014 01: +0,27.021,54,Battle-Scarred,Covert
May 25 2014 01: +0,26.113,27,Battle-Scarred,Covert
May 26 2014 01: +0,26.73,50,Battle-Scarred,Covert
May 27 2014 01: +0,26.332,37,Battle-Scarred,Covert
May 28 2014 01: +0,26.073,38,Battle-Scarred,Covert
May 29 2014 01: +0,25.617,36,Battle-Scarred,Covert
May 30 2014 01: +0,25.401,56,Battle-Scarred,Covert
May 31 2014 01: +0,24.903,48,Battle-Scarred,Covert
Jun 01 2014 01: +0,25.961,38,Battle-Scarred,Covert
Jun 02 2014 01: +0,25.608,38,Battle-Scarred,Covert
Jun 03 2014 01: +0,25.617,34,Battle-Scarred,Covert
Jun 04 2014 01: +0,24.419,39,Battle-Scarred,Covert
Jun 05 2014 01: +0,23.394,59,Battle-Scarred,Covert
Jun 06 2014 01: +0,24.895,37,Battle-Scarred,Covert
Jun 07 2014 01: +0,25.446,38,Battle-Scarred,Covert
Jun 08 2014 01: +0,25.678,30,Battle-Scarred,Covert
Jun 09 2014 01: +0,24.394,27,Battle-Scarred,Covert
Jun 10 2014 01: +0,22.674,47,Battle-Scarred,Covert
Jun 11 2014 01: +0,22.632,47,Battle-Scarred,Covert
Jun 12 2014 01: +0,23.017,48,Battle-Scarred,Covert
Jun 13 2014 01: +0,22.035,58,Battle-Scarred,Covert
Jun 14 2014 01: +0,24.332,54,Battle-Scarred,Covert
Jun 15 2014 01: +0,24.276,55,Battle-Scarred,Covert
Jun 16 2014 01: +0,25.702,46,Battle-Scarred,Covert
Jun 17 2014 01: +0,21.814,66,Battle-Scarred,Covert
Jun 18 2014 01: +0,21.687,53,Battle-Scarred,Covert
Jun 19 2014 01: +0,21.568,46,Battle-Scarred,Covert
Jun 20 2014 01: +0,20.917,54,Battle-Scarred,Covert
Jun 21 2014 01: +0,19.851,57,Battle-Scarred,Covert
Jun 22 2014 01: +0,20.19,51,Battle-Scarred,Covert
Jun 23 2014 01: +0,18.447,54,Battle-Scarred,Covert
Jun 24 2014 01: +0,16.754,52,Battle-Scarred,Covert
Jun 25 2014 01: +0,18.508,60,Battle-Scarred,Covert
Jun 26 2014 01: +0,20.407,42,Battle-Scarred,Covert
Jun 27 2014 01: +0,20.748,52,Battle-Scarred,Covert
Jun 28 2014 01: +0,22.129,71,Battle-Scarred,Covert
Jun 29 2014 01: +0,22.208,64,Battle-Scarred,Covert
Jun 30 2014 01: +0,21.343,57,Battle-Scarred,Covert
Jul 01 2014 01: +0,22.213,65,Battle-Scarred,Covert
Jul 02 2014 01: +0,18.716,72,Battle-Scarred,Covert
Jul 03 2014 01: +0,19.396,59,Battle-Scarred,Covert
Jul 04 2014 01: +0,21.292,48,Battle-Scarred,Covert
Jul 05 2014 01: +0,20.46,43,Battle-Scarred,Covert
Jul 06 2014 01: +0,19.948,62,Battle-Scarred,Covert
Jul 07 2014 01: +0,21.434,63,Battle-Scarred,Covert
Jul 08 2014 01: +0,20.972,54,Battle-Scarred,Covert
Jul 09 2014 01: +0,22.668,60,Battle-Scarred,Covert
Jul 10 2014 01: +0,23.147,62,Battle-Scarred,Covert
Jul 11 2014 01: +0,21.345,54,Battle-Scarred,Covert
Jul 12 2014 01: +0,21.339,56,Battle-Scarred,Covert
Jul 13 2014 01: +0,20.331,57,Battle-Scarred,Covert
Jul 14 2014 01: +0,20.455,68,Battle-Scarred,Covert
Jul 15 2014 01: +0,22.23,72,Battle-Scarred,Covert
Jul 16 2014 01: +0,22.395,60,Battle-Scarred,Covert
Jul 17 2014 01: +0,20.822,61,Battle-Scarred,Covert
Jul 18 2014 01: +0,22.482,60,Battle-Scarred,Covert
Jul 19 2014 01: +0,21.617,62,Battle-Scarred,Covert
Jul 20 2014 01: +0,20.057,55,Battle-Scarred,Covert
Jul 21 2014 01: +0,20.922,70,Battle-Scarred,Covert
Jul 22 2014 01: +0,21.543,55,Battle-Scarred,Covert
Jul 23 2014 01: +0,21.929,55,Battle-Scarred,Covert
Jul 24 2014 01: +0,22.107,52,Battle-Scarred,Covert
Jul 25 2014 01: +0,22.906,60,Battle-Scarred,Covert
Jul 26 2014 01: +0,21.629,80,Battle-Scarred,Covert
Jul 27 2014 01: +0,23.329,52,Battle-Scarred,Covert
