Date,Price,Quantity Sold,exterior,rarity
May 02 2014 01: +0,304.826,3,Factory-New,Covert
May 03 2014 01: +0,404.888,2,Factory-New,Covert
May 04 2014 01: +0,255.932,4,Factory-New,Covert
May 05 2014 01: +0,192.632,7,Factory-New,Covert
May 06 2014 01: +0,210.871,2,Factory-New,Covert
May 07 2014 01: +0,197.651,7,Factory-New,Covert
May 08 2014 01: +0,210.009,7,Factory-New,Covert
May 09 2014 01: +0,202.966,4,Factory-New,Covert
May 10 2014 01: +0,193.825,8,Factory-New,Covert
May 11 2014 01: +0,158.538,7,Factory-New,Covert
May 12 2014 01: +0,147.867,6,Factory-New,Covert
May 13 2014 01: +0,153.048,9,Factory-New,Covert
May 14 2014 01: +0,178.138,3,Factory-New,Covert
May 15 2014 01: +0,127.526,11,Factory-New,Covert
May 16 2014 01: +0,135.927,10,Factory-New,Covert
May 17 2014 01: +0,133.346,5,Factory-New,Covert
May 18 2014 01: +0,120.888,14,Factory-New,Covert
May 19 2014 01: +0,110.254,12,Factory-New,Covert
May 20 2014 01: +0,117.491,17,Factory-New,Covert
May 21 2014 01: +0,109.547,8,Factory-New,Covert
May 22 2014 01: +0,110.803,12,Factory-New,Covert
May 23 2014 01: +0,126.95,14,Factory-New,Covert
May 24 2014 01: +0,140.383,5,Factory-New,Covert
May 25 2014 01: +0,147.531,7,Factory-New,Covert
May 26 2014 01: +0,119.034,6,Factory-New,Covert
May 27 2014 01: +0,109.11,14,Factory-New,Covert
May 28 2014 01: +0,119.312,11,Factory-New,Covert
May 29 2014 01: +0,110.541,14,Factory-New,Covert
May 30 2014 01: +0,120.602,8,Factory-New,Covert
May 31 2014 01: +0,108.191,9,Factory-New,Covert
Jun 01 2014 01: +0,105.236,14,Factory-New,Covert
Jun 02 2014 01: +0,113.196,10,Factory-New,Covert
Jun 03 2014 01: +0,113.47,7,Factory-New,Covert
Jun 04 2014 01: +0,115.354,12,Factory-New,Covert
Jun 05 2014 01: +0,114.222,7,Factory-New,Covert
