Date,Price,Quantity Sold,exterior,rarity
May 02 2014 01: +0,155.429,32,Field-Tested,Covert
May 03 2014 01: +0,117.778,52,Field-Tested,Covert
May 04 2014 01: +0,96.456,65,Field-Tested,Covert
May 05 2014 01: +0,94.184,51,Field-Tested,Covert
May 06 2014 01: +0,86.398,46,Field-Tested,Covert
May 07 2014 01: +0,83.758,50,Field-Tested,Covert
May 08 2014 01: +0,80.902,47,Field-Tested,Covert
May 09 2014 01: +0,79.275,56,Field-Tested,Covert
May 10 2014 01: +0,74.113,55,Field-Tested,Covert
May 11 2014 01: +0,66.273,59,Field-Tested,Covert
May 12 2014 01: +0,62.021,49,Field-Tested,Covert
May 13 2014 01: +0,61.703,61,Field-Tested,Covert
May 14 2014 01: +0,66.027,55,Field-Tested,Covert
May 15 2014 01: +0,66.382,70,Field-Tested,Covert
May 16 2014 01: +0,67.559,62,Field-Tested,Covert
May 17 2014 01: +0,63.44,61,Field-Tested,Covert
May 18 2014 01: +0,55.682,78,Field-Tested,Covert
May 19 2014 01: +0,58.372,58,Field-Tested,Covert
May 20 2014 01: +0,60.64,57,Field-Tested,Covert
May 21 2014 01: +0,57.523,65,Field-Tested,Covert
May 22 2014 01: +0,61.457,71,Field-Tested,Covert
May 23 2014 01: +0,61.341,70,Field-Tested,Covert
May 24 2014 01: +0,58.507,67,Field-Tested,Covert
May 25 2014 01: +0,55.566,82,Field-Tested,Covert
May 26 2014 01: +0,53.722,77,Field-Tested,Covert
May 27 2014 01: +0,55.323,65,Field-Tested,Covert
May 28 2014 01: +0,52.814,87,Field-Tested,Covert
May 29 2014 01: +0,53.21,85,Field-Tested,Covert
May 30 2014 01: +0,54.719,71,Field-Tested,Covert
May 31 2014 01: +0,51.361,79,Field-Tested,Covert
Jun 01 2014 01: +0,52.713,77,Field-Tested,Covert
Jun 02 2014 01: +0,51.179,84,Field-Tested,Covert
Jun 03 2014 01: +0,49.657,69,Field-Tested,Covert
Jun 04 2014 01: +0,51.12,79,Field-Tested,Covert
Jun 05 2014 01: +0,51.887,69,Field-Tested,Covert
Jun 06 2014 01: +0,48.799,71,Field-Tested,Covert
Jun 07 2014 01: +0,47.432,91,Field-Tested,Covert
Jun 08 2014 01: +0,46.519,95,Field-Tested,Covert
Jun 09 2014 01: +0,47.729,83,Field-Tested,Covert
Jun 10 2014 01: +0,46.629,92,Field-Tested,Covert
Jun 11 2014 01: +0,49.19,71,Field-Tested,Covert
Jun 12 2014 01: +0,45.288,129,Field-Tested,Covert
Jun 13 2014 01: +0,45.241,120,Field-Tested,Covert
Jun 14 2014 01: +0,46.786,116,Field-Tested,Covert
Jun 15 2014 01: +0,47.677,112,Field-Tested,Covert
Jun 16 2014 01: +0,49.487,110,Field-Tested,Covert
Jun 17 2014 01: +0,46.906,106,Field-Tested,Covert
Jun 18 2014 01: +0,46.937,89,Field-Tested,Covert
Jun 19 2014 01: +0,44.585,97,Field-Tested,Covert
Jun 20 2014 01: +0,41.688,105,Field-Tested,Covert
Jun 21 2014 01: +0,41.005,107,Field-Tested,Covert
Jun 22 2014 01: +0,41.222,113,Field-Tested,Covert
Jun 23 2014 01: +0,40.27,93,Field-Tested,Covert
Jun 24 2014 01: +0,40.806,97,Field-Tested,Covert
Jun 25 2014 01: +0,40.62,109,Field-Tested,Covert
Jun 26 2014 01: +0,40.573,92,Field-Tested,Covert
Jun 27 2014 01: +0,44.842,102,Field-Tested,Covert
Jun 28 2014 01: +0,47.809,107,Field-Tested,Covert
Jun 29 2014 01: +0,45.236,121,Field-Tested,Covert
Jun 30 2014 01: +0,45.793,115,Field-Tested,Covert
Jul 01 2014 01: +0,47.414,117,Field-Tested,Covert
Jul 02 2014 01: +0,37.981,162,Field-Tested,Covert
Jul 03 2014 01: +0,40.218,119,Field-Tested,Covert
Jul 04 2014 01: +0,42.892,114,Field-Tested,Covert
Jul 05 2014 01: +0,43.857,101,Field-Tested,Covert
Jul 06 2014 01: +0,45.907,97,Field-Tested,Covert
Jul 07 2014 01: +0,44.785,118,Field-Tested,Covert
Jul 08 2014 01: +0,47.63,86,Field-Tested,Covert
Jul 09 2014 01: +0,46.471,110,Field-Tested,Covert
Jul 10 2014 01: +0,47.461,106,Field-Tested,Covert
Jul 11 2014 01: +0,44.058,145,Field-Tested,Covert
Jul 12 2014 01: +0,42.891,117,Field-Tested,Covert
Jul 13 2014 01: +0,42.827,120,Field-Tested,Covert
Jul 14 2014 01: +0,44.148,146,Field-Tested,Covert
Jul 15 2014 01: +0,45.967,137,Field-Tested,Covert
Jul 16 2014 01: +0,48.202,144,Field-Tested,Covert
Jul 17 2014 01: +0,46.347,119,Field-Tested,Covert
Jul 18 2014 01: +0,45.984,109,Field-Tested,Covert
Jul 19 2014 01: +0,46.493,118,Field-Tested,Covert
Jul 20 2014 01: +0,44.663,133,Field-Tested,Covert
Jul 21 2014 01: +0,44.406,134,Field-Tested,Covert
Jul 22 2014 01: +0,45.454,127,Field-Tested,Covert
Jul 23 2014 01: +0,46.814,124,Field-Tested,Covert
Jul 24 2014 01: +0,48.034,114,Field-Tested,Covert
Jul 25 2014 01: +0,48.464,152,Field-Tested,Covert
Jul 26 2014 01: +0,47.926,127,Field-Tested,Covert
Jul 27 2014 01: +0,48.007,139,Field-Tested,Covert
Jul 28 2014 01: +0,47.21,146,Field-Tested,Covert
Jul 29 2014 01: +0,49.117,162,Field-Tested,Covert
Jul 30 2014 01: +0,50.234,131,Field-Tested,Covert
Jul 31 2014 01: +0,50.935,164,Field-Tested,Covert
Aug 01 2014 01: +0,51.419,157,Field-Tested,Covert
Aug 02 2014 01: +0,54.022,124,Field-Tested,Covert
Aug 03 2014 01: +0,54.464,187,Field-Tested,Covert
Aug 04 2014 01: +0,51.662,159,Field-Tested,Covert
Aug 05 2014 01: +0,52.37,160,Field-Tested,Covert
Aug 06 2014 01: +0,53.057,119,Field-Tested,Covert
Aug 07 2014 01: +0,52.112,147,Field-Tested,Covert
Aug 08 2014 01: +0,53.113,152,Field-Tested,Covert
Aug 09 2014 01: +0,52.67,130,Field-Tested,Covert
Aug 10 2014 01: +0,53.503,128,Field-Tested,Covert
Aug 11 2014 01: +0,53.732,135,Field-Tested,Covert
Aug 12 2014 01: +0,54.732,146,Field-Tested,Covert
Aug 13 2014 01: +0,57.165,127,Field-Tested,Covert
Aug 14 2014 01: +0,58.129,158,Field-Tested,Covert
Aug 15 2014 01: +0,56.771,189,Field-Tested,Covert
Aug 16 2014 01: +0,57.899,157,Field-Tested,Covert
Aug 17 2014 01: +0,52.074,214,Field-Tested,Covert
Aug 18 2014 01: +0,53.108,177,Field-Tested,Covert
Aug 19 2014 01: +0,53.749,151,Field-Tested,Covert
Aug 20 2014 01: +0,54.175,157,Field-Tested,Covert
Aug 21 2014 01: +0,54.493,181,Field-Tested,Covert
Aug 22 2014 01: +0,55.506,153,Field-Tested,Covert
Aug 23 2014 01: +0,53.545,170,Field-Tested,Covert
Aug 24 2014 01: +0,54.866,166,Field-Tested,Covert
Aug 25 2014 01: +0,55.001,174,Field-Tested,Covert
Aug 26 2014 01: +0,56.792,186,Field-Tested,Covert
Aug 27 2014 01: +0,57.039,163,Field-Tested,Covert
Aug 28 2014 01: +0,57.994,181,Field-Tested,Covert
Aug 29 2014 01: +0,59.179,177,Field-Tested,Covert
Aug 30 2014 01: +0,59.187,186,Field-Tested,Covert
Aug 31 2014 01: +0,60.355,160,Field-Tested,Covert
Sep 01 2014 01: +0,61.181,157,Field-Tested,Covert
Sep 02 2014 01: +0,60.751,180,Field-Tested,Covert
Sep 03 2014 01: +0,59.659,142,Field-Tested,Covert
Sep 04 2014 01: +0,58.532,132,Field-Tested,Covert
Sep 05 2014 01: +0,57.993,181,Field-Tested,Covert
Sep 06 2014 01: +0,57.25,197,Field-Tested,Covert
Sep 07 2014 01: +0,57.731,166,Field-Tested,Covert
Sep 08 2014 01: +0,60.027,144,Field-Tested,Covert
Sep 09 2014 01: +0,59.515,137,Field-Tested,Covert
Sep 10 2014 01: +0,60.235,150,Field-Tested,Covert
Sep 11 2014 01: +0,62.498,181,Field-Tested,Covert
Sep 12 2014 01: +0,62.702,171,Field-Tested,Covert
Sep 13 2014 01: +0,63.114,176,Field-Tested,Covert
Sep 14 2014 01: +0,59.791,157,Field-Tested,Covert
Sep 15 2014 01: +0,60.204,153,Field-Tested,Covert
Sep 16 2014 01: +0,63.536,123,Field-Tested,Covert
Sep 17 2014 01: +0,61.947,155,Field-Tested,Covert
Sep 18 2014 01: +0,63.159,139,Field-Tested,Covert
Sep 19 2014 01: +0,62.412,161,Field-Tested,Covert
Sep 20 2014 01: +0,58.803,168,Field-Tested,Covert
Sep 21 2014 01: +0,57.703,145,Field-Tested,Covert
Sep 22 2014 01: +0,59.161,130,Field-Tested,Covert
Sep 23 2014 01: +0,58.964,127,Field-Tested,Covert
Sep 24 2014 01: +0,57.758,122,Field-Tested,Covert
Sep 25 2014 01: +0,57.894,128,Field-Tested,Covert
Sep 26 2014 01: +0,56.167,187,Field-Tested,Covert
Sep 27 2014 01: +0,55.063,173,Field-Tested,Covert
Sep 28 2014 01: +0,53.017,169,Field-Tested,Covert
Sep 29 2014 01: +0,54.399,163,Field-Tested,Covert
Sep 30 2014 01: +0,54.468,161,Field-Tested,Covert
Oct 01 2014 01: +0,51.791,182,Field-Tested,Covert
Oct 02 2014 01: +0,52.97,188,Field-Tested,Covert
Oct 03 2014 01: +0,53.58,178,Field-Tested,Covert
Oct 04 2014 01: +0,54.113,208,Field-Tested,Covert
Oct 05 2014 01: +0,53.377,187,Field-Tested,Covert
Oct 06 2014 01: +0,54.556,173,Field-Tested,Covert
Oct 07 2014 01: +0,52.841,154,Field-Tested,Covert
Oct 08 2014 01: +0,50.838,212,Field-Tested,Covert
Oct 09 2014 01: +0,52.348,203,Field-Tested,Covert
Oct 10 2014 01: +0,52.215,219,Field-Tested,Covert
Oct 11 2014 01: +0,51.991,220,Field-Tested,Covert
Oct 12 2014 01: +0,50.047,198,Field-Tested,Covert
Oct 13 2014 01: +0,50.275,186,Field-Tested,Covert
Oct 14 2014 01: +0,50.717,158,Field-Tested,Covert
Oct 15 2014 01: +0,49.933,164,Field-Tested,Covert
Oct 16 2014 01: +0,51.086,165,Field-Tested,Covert
Oct 17 2014 01: +0,48.339,220,Field-Tested,Covert
Oct 18 2014 01: +0,48.607,212,Field-Tested,Covert
