Date,Price,Quantity Sold,exterior,rarity
May 02 2014 01: +0,155.429,32,Minimal Wear,Covert
May 03 2014 01: +0,117.778,52,Minimal Wear,Covert
May 04 2014 01: +0,96.456,65,Minimal Wear,Covert
May 05 2014 01: +0,94.184,51,Minimal Wear,Covert
May 06 2014 01: +0,86.398,46,Minimal Wear,Covert
May 07 2014 01: +0,83.758,50,Minimal Wear,Covert
May 08 2014 01: +0,80.902,47,Minimal Wear,Covert
May 09 2014 01: +0,79.275,56,Minimal Wear,Covert
May 10 2014 01: +0,74.113,55,Minimal Wear,Covert
May 11 2014 01: +0,66.273,59,Minimal Wear,Covert
May 12 2014 01: +0,62.021,49,Minimal Wear,Covert
May 13 2014 01: +0,61.703,61,Minimal Wear,Covert
May 14 2014 01: +0,66.027,55,Minimal Wear,Covert
May 15 2014 01: +0,66.382,70,Minimal Wear,Covert
May 16 2014 01: +0,67.559,62,Minimal Wear,Covert
May 17 2014 01: +0,63.44,61,Minimal Wear,Covert
May 18 2014 01: +0,55.682,78,Minimal Wear,Covert
May 19 2014 01: +0,58.372,58,Minimal Wear,Covert
May 20 2014 01: +0,60.64,57,Minimal Wear,Covert
May 21 2014 01: +0,57.523,65,Minimal Wear,Covert
May 22 2014 01: +0,61.457,71,Minimal Wear,Covert
May 23 2014 01: +0,61.341,70,Minimal Wear,Covert
May 24 2014 01: +0,58.507,67,Minimal Wear,Covert
May 25 2014 01: +0,55.566,82,Minimal Wear,Covert
May 26 2014 01: +0,53.722,77,Minimal Wear,Covert
May 27 2014 01: +0,55.323,65,Minimal Wear,Covert
May 28 2014 01: +0,52.814,87,Minimal Wear,Covert
May 29 2014 01: +0,53.21,85,Minimal Wear,Covert
May 30 2014 01: +0,54.719,71,Minimal Wear,Covert
May 31 2014 01: +0,51.361,79,Minimal Wear,Covert
Jun 01 2014 01: +0,52.713,77,Minimal Wear,Covert
Jun 02 2014 01: +0,51.179,84,Minimal Wear,Covert
Jun 03 2014 01: +0,49.657,69,Minimal Wear,Covert
Jun 04 2014 01: +0,51.12,79,Minimal Wear,Covert
Jun 05 2014 01: +0,51.887,69,Minimal Wear,Covert
Jun 06 2014 01: +0,48.799,71,Minimal Wear,Covert
Jun 07 2014 01: +0,47.432,91,Minimal Wear,Covert
Jun 08 2014 01: +0,46.519,95,Minimal Wear,Covert
Jun 09 2014 01: +0,47.729,83,Minimal Wear,Covert
Jun 10 2014 01: +0,46.629,92,Minimal Wear,Covert
Jun 11 2014 01: +0,49.19,71,Minimal Wear,Covert
Jun 12 2014 01: +0,45.288,129,Minimal Wear,Covert
Jun 13 2014 01: +0,45.241,120,Minimal Wear,Covert
Jun 14 2014 01: +0,46.786,116,Minimal Wear,Covert
Jun 15 2014 01: +0,47.677,112,Minimal Wear,Covert
Jun 16 2014 01: +0,49.487,110,Minimal Wear,Covert
Jun 17 2014 01: +0,46.906,106,Minimal Wear,Covert
Jun 18 2014 01: +0,46.937,89,Minimal Wear,Covert
Jun 19 2014 01: +0,44.585,97,Minimal Wear,Covert
Jun 20 2014 01: +0,41.688,105,Minimal Wear,Covert
Jun 21 2014 01: +0,41.005,107,Minimal Wear,Covert
Jun 22 2014 01: +0,41.222,113,Minimal Wear,Covert
Jun 23 2014 01: +0,40.27,93,Minimal Wear,Covert
Jun 24 2014 01: +0,40.806,97,Minimal Wear,Covert
Jun 25 2014 01: +0,40.62,109,Minimal Wear,Covert
Jun 26 2014 01: +0,40.573,92,Minimal Wear,Covert
Jun 27 2014 01: +0,44.842,102,Minimal Wear,Covert
Jun 28 2014 01: +0,47.809,107,Minimal Wear,Covert
Jun 29 2014 01: +0,45.236,121,Minimal Wear,Covert
Jun 30 2014 01: +0,45.793,115,Minimal Wear,Covert
Jul 01 2014 01: +0,47.414,117,Minimal Wear,Covert
Jul 02 2014 01: +0,37.981,162,Minimal Wear,Covert
Jul 03 2014 01: +0,40.218,119,Minimal Wear,Covert
Jul 04 2014 01: +0,42.892,114,Minimal Wear,Covert
Jul 05 2014 01: +0,43.857,101,Minimal Wear,Covert
Jul 06 2014 01: +0,45.907,97,Minimal Wear,Covert
Jul 07 2014 01: +0,44.785,118,Minimal Wear,Covert
Jul 08 2014 01: +0,47.63,86,Minimal Wear,Covert
Jul 09 2014 01: +0,46.471,110,Minimal Wear,Covert
Jul 10 2014 01: +0,47.461,106,Minimal Wear,Covert
Jul 11 2014 01: +0,44.058,145,Minimal Wear,Covert
Jul 12 2014 01: +0,42.891,117,Minimal Wear,Covert
Jul 13 2014 01: +0,42.827,120,Minimal Wear,Covert
Jul 14 2014 01: +0,44.148,146,Minimal Wear,Covert
Jul 15 2014 01: +0,45.967,137,Minimal Wear,Covert
Jul 16 2014 01: +0,48.202,144,Minimal Wear,Covert
Jul 17 2014 01: +0,46.347,119,Minimal Wear,Covert
Jul 18 2014 01: +0,45.984,109,Minimal Wear,Covert
Jul 19 2014 01: +0,46.493,118,Minimal Wear,Covert
Jul 20 2014 01: +0,44.663,133,Minimal Wear,Covert
Jul 21 2014 01: +0,44.406,134,Minimal Wear,Covert
Jul 22 2014 01: +0,45.454,127,Minimal Wear,Covert
Jul 23 2014 01: +0,46.814,124,Minimal Wear,Covert
Jul 24 2014 01: +0,48.034,114,Minimal Wear,Covert
Jul 25 2014 01: +0,48.464,152,Minimal Wear,Covert
Jul 26 2014 01: +0,47.926,127,Minimal Wear,Covert
