Date,Price,Quantity Sold,exterior,rarity
May 02 2014 01: +0,126.422,10,Well-Worn,Covert
May 03 2014 01: +0,100.622,11,Well-Worn,Covert
May 04 2014 01: +0,84.743,16,Well-Worn,Covert
May 05 2014 01: +0,84.413,11,Well-Worn,Covert
May 06 2014 01: +0,70.534,15,Well-Worn,Covert
May 07 2014 01: +0,78.112,14,Well-Worn,Covert
May 08 2014 01: +0,74.516,8,Well-Worn,Covert
May 09 2014 01: +0,65.184,20,Well-Worn,Covert
May 10 2014 01: +0,60.782,17,Well-Worn,Covert
May 11 2014 01: +0,57.667,17,Well-Worn,Covert
May 12 2014 01: +0,56.349,17,Well-Worn,Covert
May 13 2014 01: +0,48.914,21,Well-Worn,Covert
May 14 2014 01: +0,51.367,20,Well-Worn,Covert
May 15 2014 01: +0,55.318,22,Well-Worn,Covert
May 16 2014 01: +0,59.389,11,Well-Worn,Covert
May 17 2014 01: +0,58.434,18,Well-Worn,Covert
May 18 2014 01: +0,50.908,12,Well-Worn,Covert
May 19 2014 01: +0,49.545,29,Well-Worn,Covert
May 20 2014 01: +0,50.615,15,Well-Worn,Covert
May 21 2014 01: +0,53.854,15,Well-Worn,Covert
May 22 2014 01: +0,52.197,18,Well-Worn,Covert
May 23 2014 01: +0,47.371,26,Well-Worn,Covert
May 24 2014 01: +0,47.641,33,Well-Worn,Covert
May 25 2014 01: +0,44.982,26,Well-Worn,Covert
May 26 2014 01: +0,47.044,24,Well-Worn,Covert
May 27 2014 01: +0,44.693,24,Well-Worn,Covert
May 28 2014 01: +0,43.217,27,Well-Worn,Covert
May 29 2014 01: +0,43.932,28,Well-Worn,Covert
May 30 2014 01: +0,45.86,28,Well-Worn,Covert
May 31 2014 01: +0,44.578,16,Well-Worn,Covert
Jun 01 2014 01: +0,43.077,34,Well-Worn,Covert
Jun 02 2014 01: +0,41.15,22,Well-Worn,Covert
Jun 03 2014 01: +0,39.67,25,Well-Worn,Covert
Jun 04 2014 01: +0,41.175,29,Well-Worn,Covert
Jun 05 2014 01: +0,41.672,32,Well-Worn,Covert
Jun 06 2014 01: +0,39.317,28,Well-Worn,Covert
Jun 07 2014 01: +0,40.607,29,Well-Worn,Covert
Jun 08 2014 01: +0,35.569,31,Well-Worn,Covert
Jun 09 2014 01: +0,38.186,36,Well-Worn,Covert
Jun 10 2014 01: +0,39.223,35,Well-Worn,Covert
Jun 11 2014 01: +0,39.358,23,Well-Worn,Covert
Jun 12 2014 01: +0,38.001,37,Well-Worn,Covert
Jun 13 2014 01: +0,40.076,27,Well-Worn,Covert
Jun 14 2014 01: +0,37.011,31,Well-Worn,Covert
Jun 15 2014 01: +0,40.189,36,Well-Worn,Covert
Jun 16 2014 01: +0,40.379,36,Well-Worn,Covert
Jun 17 2014 01: +0,42.268,29,Well-Worn,Covert
Jun 18 2014 01: +0,39.333,22,Well-Worn,Covert
Jun 19 2014 01: +0,39.45,29,Well-Worn,Covert
Jun 20 2014 01: +0,35.028,37,Well-Worn,Covert
Jun 21 2014 01: +0,36.956,32,Well-Worn,Covert
Jun 22 2014 01: +0,32.94,34,Well-Worn,Covert
Jun 23 2014 01: +0,33.606,48,Well-Worn,Covert
Jun 24 2014 01: +0,34.589,21,Well-Worn,Covert
Jun 25 2014 01: +0,33.813,36,Well-Worn,Covert
Jun 26 2014 01: +0,34.138,30,Well-Worn,Covert
Jun 27 2014 01: +0,35.236,49,Well-Worn,Covert
Jun 28 2014 01: +0,38.008,30,Well-Worn,Covert
Jun 29 2014 01: +0,39.029,35,Well-Worn,Covert
Jun 30 2014 01: +0,38.797,32,Well-Worn,Covert
Jul 01 2014 01: +0,41.666,37,Well-Worn,Covert
Jul 02 2014 01: +0,32.227,41,Well-Worn,Covert
Jul 03 2014 01: +0,34.053,33,Well-Worn,Covert
Jul 04 2014 01: +0,36.721,27,Well-Worn,Covert
Jul 05 2014 01: +0,35.106,37,Well-Worn,Covert
Jul 06 2014 01: +0,34.968,47,Well-Worn,Covert
Jul 07 2014 01: +0,36.617,42,Well-Worn,Covert
Jul 08 2014 01: +0,39.153,33,Well-Worn,Covert
Jul 09 2014 01: +0,37.541,34,Well-Worn,Covert
Jul 10 2014 01: +0,39.529,40,Well-Worn,Covert
Jul 11 2014 01: +0,38.557,35,Well-Worn,Covert
Jul 12 2014 01: +0,37.696,35,Well-Worn,Covert
Jul 13 2014 01: +0,35.328,37,Well-Worn,Covert
Jul 14 2014 01: +0,36.661,48,Well-Worn,Covert
Jul 15 2014 01: +0,36.865,56,Well-Worn,Covert
Jul 16 2014 01: +0,38.325,53,Well-Worn,Covert
Jul 17 2014 01: +0,37.43,41,Well-Worn,Covert
Jul 18 2014 01: +0,38.642,43,Well-Worn,Covert
Jul 19 2014 01: +0,38.092,45,Well-Worn,Covert
Jul 20 2014 01: +0,38.99,26,Well-Worn,Covert
Jul 21 2014 01: +0,38.818,35,Well-Worn,Covert
Jul 22 2014 01: +0,38.138,31,Well-Worn,Covert
Jul 23 2014 01: +0,39.466,32,Well-Worn,Covert
Jul 24 2014 01: +0,38.321,50,Well-Worn,Covert
Jul 25 2014 01: +0,39.984,43,Well-Worn,Covert
Jul 26 2014 01: +0,40.562,45,Well-Worn,Covert
Jul 27 2014 01: +0,40.899,36,Well-Worn,Covert
Jul 28 2014 01: +0,42.097,45,Well-Worn,Covert
Jul 29 2014 01: +0,41.354,33,Well-Worn,Covert
Jul 30 2014 01: +0,40.868,41,Well-Worn,Covert
Jul 31 2014 01: +0,39.357,52,Well-Worn,Covert
Aug 01 2014 01: +0,42.354,54,Well-Worn,Covert
Aug 02 2014 01: +0,44.73,52,Well-Worn,Covert
Aug 03 2014 01: +0,43.53,51,Well-Worn,Covert
Aug 04 2014 01: +0,43.056,51,Well-Worn,Covert
Aug 05 2014 01: +0,42.509,43,Well-Worn,Covert
Aug 06 2014 01: +0,45.257,34,Well-Worn,Covert
Aug 07 2014 01: +0,43.192,54,Well-Worn,Covert
Aug 08 2014 01: +0,47.055,51,Well-Worn,Covert
Aug 09 2014 01: +0,43.394,35,Well-Worn,Covert
Aug 10 2014 01: +0,43.083,53,Well-Worn,Covert
Aug 11 2014 01: +0,42.673,58,Well-Worn,Covert
Aug 12 2014 01: +0,44.207,44,Well-Worn,Covert
Aug 13 2014 01: +0,45.468,39,Well-Worn,Covert
Aug 14 2014 01: +0,48.029,48,Well-Worn,Covert
Aug 15 2014 01: +0,46.386,58,Well-Worn,Covert
Aug 16 2014 01: +0,48.465,54,Well-Worn,Covert
Aug 17 2014 01: +0,44.749,54,Well-Worn,Covert
Aug 18 2014 01: +0,44.184,38,Well-Worn,Covert
Aug 19 2014 01: +0,43.786,42,Well-Worn,Covert
Aug 20 2014 01: +0,44.265,43,Well-Worn,Covert
Aug 21 2014 01: +0,43.451,45,Well-Worn,Covert
Aug 22 2014 01: +0,44.449,58,Well-Worn,Covert
Aug 23 2014 01: +0,43.347,62,Well-Worn,Covert
Aug 24 2014 01: +0,43.043,66,Well-Worn,Covert
Aug 25 2014 01: +0,45.081,60,Well-Worn,Covert
Aug 26 2014 01: +0,46.354,51,Well-Worn,Covert
Aug 27 2014 01: +0,46.9,60,Well-Worn,Covert
Aug 28 2014 01: +0,47.393,54,Well-Worn,Covert
Aug 29 2014 01: +0,45.109,56,Well-Worn,Covert
Aug 30 2014 01: +0,48.641,51,Well-Worn,Covert
Aug 31 2014 01: +0,48.199,54,Well-Worn,Covert
Sep 01 2014 01: +0,49.795,67,Well-Worn,Covert
Sep 02 2014 01: +0,50.745,41,Well-Worn,Covert
Sep 03 2014 01: +0,51.895,49,Well-Worn,Covert
Sep 04 2014 01: +0,48.618,39,Well-Worn,Covert
Sep 05 2014 01: +0,45.965,46,Well-Worn,Covert
Sep 06 2014 01: +0,46.934,45,Well-Worn,Covert
Sep 07 2014 01: +0,46.293,53,Well-Worn,Covert
Sep 08 2014 01: +0,48.582,52,Well-Worn,Covert
Sep 09 2014 01: +0,50.091,45,Well-Worn,Covert
Sep 10 2014 01: +0,48.171,68,Well-Worn,Covert
Sep 11 2014 01: +0,49.634,53,Well-Worn,Covert
Sep 12 2014 01: +0,48.401,66,Well-Worn,Covert
Sep 13 2014 01: +0,49.14,56,Well-Worn,Covert
Sep 14 2014 01: +0,47.512,57,Well-Worn,Covert
Sep 15 2014 01: +0,45.819,46,Well-Worn,Covert
Sep 16 2014 01: +0,47.443,51,Well-Worn,Covert
Sep 17 2014 01: +0,45.998,70,Well-Worn,Covert
Sep 18 2014 01: +0,50.469,46,Well-Worn,Covert
Sep 19 2014 01: +0,50.965,61,Well-Worn,Covert
Sep 20 2014 01: +0,47.615,50,Well-Worn,Covert
Sep 21 2014 01: +0,45.809,46,Well-Worn,Covert
Sep 22 2014 01: +0,47.138,52,Well-Worn,Covert
Sep 23 2014 01: +0,47.179,42,Well-Worn,Covert
Sep 24 2014 01: +0,43.325,57,Well-Worn,Covert
Sep 25 2014 01: +0,47.348,45,Well-Worn,Covert
Sep 26 2014 01: +0,45.907,62,Well-Worn,Covert
Sep 27 2014 01: +0,43.918,69,Well-Worn,Covert
Sep 28 2014 01: +0,43.471,46,Well-Worn,Covert
Sep 29 2014 01: +0,43.873,53,Well-Worn,Covert
Sep 30 2014 01: +0,46.569,46,Well-Worn,Covert
Oct 01 2014 01: +0,43.791,45,Well-Worn,Covert
Oct 02 2014 01: +0,44.37,49,Well-Worn,Covert
Oct 03 2014 01: +0,44.495,61,Well-Worn,Covert
Oct 04 2014 01: +0,41.617,78,Well-Worn,Covert
Oct 05 2014 01: +0,42.281,76,Well-Worn,Covert
Oct 06 2014 01: +0,45.913,40,Well-Worn,Covert
Oct 07 2014 01: +0,42.986,58,Well-Worn,Covert
Oct 08 2014 01: +0,43.381,59,Well-Worn,Covert
Oct 09 2014 01: +0,43.55,61,Well-Worn,Covert
Oct 10 2014 01: +0,40.91,70,Well-Worn,Covert
Oct 11 2014 01: +0,41.446,74,Well-Worn,Covert
Oct 12 2014 01: +0,41.416,63,Well-Worn,Covert
Oct 13 2014 01: +0,41.473,71,Well-Worn,Covert
Oct 14 2014 01: +0,42.872,57,Well-Worn,Covert
Oct 15 2014 01: +0,43.416,47,Well-Worn,Covert
Oct 16 2014 01: +0,42.599,55,Well-Worn,Covert
Oct 17 2014 01: +0,39.884,69,Well-Worn,Covert
