Date,Price,Quatity Sold
Jun 18 2019 01: +0,1.108,68
Jun 19 2019 01: +0,1.087,1118
Jun 20 2019 01: +0,1.085,433
Jun 21 2019 01: +0,1.081,199
Jun 22 2019 01: +0,1.078,134
Jun 23 2019 01: +0,1.072,97
Jun 24 2019 01: +0,1.08,150
Jun 25 2019 01: +0,1.064,72
Jun 26 2019 01: +0,1.002,409
Jun 27 2019 01: +0,0.901,376
Jun 28 2019 01: +0,0.889,592
Jun 29 2019 01: +0,0.868,364
Jun 30 2019 01: +0,0.84,1223
Jul 01 2019 01: +0,0.778,1231
Jul 02 2019 01: +0,0.776,511
Jul 03 2019 01: +0,0.803,545
Jul 04 2019 01: +0,0.836,360
Jul 05 2019 01: +0,0.83,440
Jul 06 2019 01: +0,0.829,308
Jul 07 2019 01: +0,0.863,259
Jul 08 2019 01: +0,0.886,157
Jul 09 2019 01: +0,0.937,157
Jul 10 2019 01: +0,0.959,158
Jul 11 2019 01: +0,0.998,138
Jul 12 2019 01: +0,0.993,131
Jul 13 2019 01: +0,0.986,98
Jul 14 2019 01: +0,1.001,97
Jul 15 2019 01: +0,1.004,114
Jul 16 2019 01: +0,1.007,90
Jul 17 2019 01: +0,1.003,103
Jul 18 2019 01: +0,1.003,172
Jul 19 2019 01: +0,1.001,104
Jul 20 2019 01: +0,1.013,91
Jul 21 2019 01: +0,1.031,130
Jul 22 2019 01: +0,1.03,79
Jul 23 2019 01: +0,1.024,96
Jul 24 2019 01: +0,1.008,99
Jul 25 2019 01: +0,0.99,133
Jul 26 2019 01: +0,0.985,109
Jul 27 2019 01: +0,0.998,90
Jul 28 2019 01: +0,0.992,83
Jul 29 2019 01: +0,0.989,138
Jul 30 2019 01: +0,0.994,105
Jul 31 2019 01: +0,0.991,125
Aug 01 2019 01: +0,0.98,106
Aug 02 2019 01: +0,0.965,138
Aug 03 2019 01: +0,0.974,152
Aug 04 2019 01: +0,0.967,153
Aug 05 2019 01: +0,0.982,161
Aug 06 2019 01: +0,0.976,137
Aug 07 2019 01: +0,0.981,175
Aug 08 2019 01: +0,0.998,223
Aug 09 2019 01: +0,0.995,130
Aug 10 2019 01: +0,0.999,200
Aug 11 2019 01: +0,0.95,143
Aug 12 2019 01: +0,0.975,155
Aug 13 2019 01: +0,0.853,352
Aug 14 2019 01: +0,0.992,124
Aug 15 2019 01: +0,0.974,88
Aug 16 2019 01: +0,0.979,102
Aug 17 2019 01: +0,0.983,95
Aug 18 2019 01: +0,0.999,99
Aug 19 2019 01: +0,1.006,76
Aug 20 2019 01: +0,0.999,72
Aug 21 2019 01: +0,1.006,82
Aug 22 2019 01: +0,1.0,45
Aug 23 2019 01: +0,0.991,59
Aug 24 2019 01: +0,0.972,93
Aug 25 2019 01: +0,0.976,93
Aug 26 2019 01: +0,0.979,54
Aug 27 2019 01: +0,0.974,67
Aug 28 2019 01: +0,0.972,60
Aug 29 2019 01: +0,0.958,72
Aug 30 2019 01: +0,0.953,70
Aug 31 2019 01: +0,0.981,66
Sep 01 2019 01: +0,0.971,68
Sep 02 2019 01: +0,0.973,77
Sep 03 2019 01: +0,0.96,46
Sep 04 2019 01: +0,0.958,54
Sep 05 2019 01: +0,0.953,72
Sep 06 2019 01: +0,0.969,82
Sep 07 2019 01: +0,0.993,90
Sep 08 2019 01: +0,0.987,58
Sep 09 2019 01: +0,0.986,39
Sep 10 2019 01: +0,1.028,40
Sep 11 2019 01: +0,1.035,30
Sep 12 2019 01: +0,0.915,51
Sep 13 2019 01: +0,0.99,53
Sep 14 2019 01: +0,1.029,45
Sep 15 2019 01: +0,1.033,42
Sep 16 2019 01: +0,1.025,30
Sep 17 2019 01: +0,1.013,25
Sep 18 2019 01: +0,1.006,44
Sep 19 2019 01: +0,1.035,28
Sep 20 2019 01: +0,1.006,31
Sep 21 2019 01: +0,1.001,55
Sep 22 2019 01: +0,0.98,63
Sep 23 2019 01: +0,0.962,41
Sep 24 2019 01: +0,0.972,60
Sep 25 2019 01: +0,0.976,45
Sep 26 2019 01: +0,1.014,63
Sep 27 2019 01: +0,1.002,66
Sep 28 2019 01: +0,1.027,79
Sep 29 2019 01: +0,1.018,100
Sep 30 2019 01: +0,1.024,62
Oct 01 2019 01: +0,1.019,85
