Date,Price,Quatity Sold
Dec 06 2018 01: +0,9.936,6244
Dec 07 2018 01: +0,5.453,56834
Dec 08 2018 01: +0,3.3,60651
Dec 09 2018 01: +0,2.574,55323
Dec 10 2018 01: +0,2.719,38455
Dec 11 2018 01: +0,2.398,35604
Dec 12 2018 01: +0,2.306,32785
Dec 13 2018 01: +0,2.142,35018
Dec 14 2018 01: +0,2.029,39727
Dec 15 2018 01: +0,1.731,49736
Dec 16 2018 01: +0,1.27,55881
Dec 17 2018 01: +0,1.084,51072
Dec 18 2018 01: +0,1.264,39466
Dec 19 2018 01: +0,1.299,37027
Dec 20 2018 01: +0,1.345,36975
Dec 21 2018 01: +0,1.358,45979
Dec 22 2018 01: +0,1.324,47997
Dec 23 2018 01: +0,1.107,48358
Dec 24 2018 01: +0,0.916,54194
Dec 25 2018 01: +0,1.079,51781
Dec 26 2018 01: +0,1.027,46453
Dec 27 2018 01: +0,0.909,49998
Dec 28 2018 01: +0,0.894,52145
Dec 29 2018 01: +0,0.858,53771
Dec 30 2018 01: +0,0.723,53985
Dec 31 2018 01: +0,0.769,50143
Jan 01 2019 01: +0,0.825,46316
Jan 02 2019 01: +0,0.769,45049
Jan 03 2019 01: +0,0.743,45410
Jan 04 2019 01: +0,0.699,48402
Jan 05 2019 01: +0,0.68,52567
Jan 06 2019 01: +0,0.653,50019
Jan 07 2019 01: +0,0.614,45288
Jan 08 2019 01: +0,0.595,43483
Jan 09 2019 01: +0,0.608,44418
Jan 10 2019 01: +0,0.636,45821
Jan 11 2019 01: +0,0.652,51801
Jan 12 2019 01: +0,0.638,55286
Jan 13 2019 01: +0,0.605,51509
Jan 14 2019 01: +0,0.595,42155
Jan 15 2019 01: +0,0.599,42831
Jan 16 2019 01: +0,0.6,40557
Jan 17 2019 01: +0,0.582,40776
Jan 18 2019 01: +0,0.586,45311
Jan 19 2019 01: +0,0.575,55246
Jan 20 2019 01: +0,0.545,49903
Jan 21 2019 01: +0,0.514,43460
Jan 22 2019 01: +0,0.491,41025
Jan 23 2019 01: +0,0.483,42919
Jan 24 2019 01: +0,0.478,43589
Jan 25 2019 01: +0,0.487,50954
Jan 26 2019 01: +0,0.492,56083
Jan 27 2019 01: +0,0.47,52810
Jan 28 2019 01: +0,0.445,46198
Jan 29 2019 01: +0,0.446,43480
Jan 30 2019 01: +0,0.457,43693
Jan 31 2019 01: +0,0.468,49123
Feb 01 2019 01: +0,0.493,51770
Feb 02 2019 01: +0,0.496,55327
Feb 03 2019 01: +0,0.49,53511
Feb 04 2019 01: +0,0.508,46794
Feb 05 2019 01: +0,0.535,44522
Feb 06 2019 01: +0,0.537,39935
Feb 07 2019 01: +0,0.541,44513
Feb 08 2019 01: +0,0.546,47645
Feb 09 2019 01: +0,0.523,52262
Feb 10 2019 01: +0,0.486,49291
Feb 11 2019 01: +0,0.45,40430
