Date,Price,Quantity Sold
Jan 21 2022 01: +0,10.675,76680
Jan 22 2022 01: +0,6.173,70330
Jan 23 2022 01: +0,4.914,62767
Jan 24 2022 01: +0,4.328,52950
Jan 25 2022 01: +0,3.996,51942
Jan 26 2022 01: +0,3.329,52060
Jan 27 2022 01: +0,3.007,53145
Jan 28 2022 01: +0,2.833,58964
Jan 29 2022 01: +0,2.639,62989
Jan 30 2022 01: +0,2.32,62221
Jan 31 2022 01: +0,2.149,57524
Feb 01 2022 01: +0,2.253,52495
Feb 02 2022 01: +0,2.305,22256
Feb 02 2022 15: +0,2.152,2802
Feb 02 2022 16: +0,2.167,2697
Feb 02 2022 17: +0,2.208,3116
Feb 02 2022 18: +0,2.22,3468
Feb 02 2022 19: +0,2.195,3436
Feb 02 2022 20: +0,2.146,3680
Feb 02 2022 21: +0,2.139,3352
Feb 02 2022 22: +0,2.138,3081
Feb 02 2022 23: +0,2.15,2820
Feb 03 2022 00: +0,2.203,2362
Feb 03 2022 01: +0,2.196,1627
Feb 03 2022 02: +0,2.41,1612
Feb 03 2022 03: +0,2.37,1494
Feb 03 2022 04: +0,2.364,1314
Feb 03 2022 05: +0,2.36,1218
Feb 03 2022 06: +0,2.347,1151
Feb 03 2022 07: +0,2.359,1378
Feb 03 2022 08: +0,2.36,1494
Feb 03 2022 09: +0,2.31,1365
Feb 03 2022 10: +0,2.18,1322
Feb 03 2022 11: +0,2.104,1565
Feb 03 2022 12: +0,2.109,1681
Feb 03 2022 13: +0,2.083,1963
Feb 03 2022 14: +0,2.111,2237
Feb 03 2022 15: +0,2.095,2507
Feb 03 2022 16: +0,2.101,3043
Feb 03 2022 17: +0,2.036,2718
Feb 03 2022 18: +0,2.029,3076
Feb 03 2022 19: +0,2.034,3622
Feb 03 2022 20: +0,2.047,4141
Feb 03 2022 21: +0,2.02,3556
Feb 03 2022 22: +0,2.049,3477
Feb 03 2022 23: +0,2.049,2844
Feb 04 2022 00: +0,2.13,2228
Feb 04 2022 01: +0,2.148,1953
Feb 04 2022 02: +0,2.186,1581
Feb 04 2022 03: +0,2.174,1396
Feb 04 2022 04: +0,2.197,1429
Feb 04 2022 05: +0,2.2,1434
Feb 04 2022 06: +0,2.23,1151
Feb 04 2022 07: +0,2.246,1383
Feb 04 2022 08: +0,2.262,1536
Feb 04 2022 09: +0,2.16,1273
Feb 04 2022 10: +0,2.12,1616
Feb 04 2022 11: +0,2.102,1568
Feb 04 2022 12: +0,2.018,1688
Feb 04 2022 13: +0,2.014,2210
Feb 04 2022 14: +0,2.026,2218
Feb 04 2022 15: +0,2.01,2751
Feb 04 2022 16: +0,2.0,2806
Feb 04 2022 17: +0,2.04,3314
Feb 04 2022 18: +0,1.97,3213
Feb 04 2022 19: +0,1.972,3549
Feb 04 2022 20: +0,1.998,4351
Feb 04 2022 21: +0,2.01,4201
Feb 04 2022 22: +0,2.057,3796
Feb 04 2022 23: +0,2.012,3323
Feb 05 2022 00: +0,2.034,2829
Feb 05 2022 01: +0,2.055,2172
Feb 05 2022 02: +0,2.2,2097
Feb 05 2022 03: +0,2.214,1854
Feb 05 2022 04: +0,2.22,1667
Feb 05 2022 05: +0,2.2,1347
Feb 05 2022 06: +0,2.209,1321
Feb 05 2022 07: +0,2.239,1554
Feb 05 2022 08: +0,2.229,1389
Feb 05 2022 09: +0,2.25,1939
Feb 05 2022 10: +0,2.111,1468
Feb 05 2022 11: +0,2.02,1842
Feb 05 2022 12: +0,1.96,2077
Feb 05 2022 13: +0,1.967,2361
Feb 05 2022 14: +0,1.897,2531
Feb 05 2022 15: +0,1.892,2918
Feb 05 2022 16: +0,1.918,2945
Feb 05 2022 17: +0,1.888,3180
Feb 05 2022 18: +0,1.897,3464
Feb 05 2022 19: +0,1.886,3655
Feb 05 2022 20: +0,1.863,3703
Feb 05 2022 21: +0,1.863,3909
Feb 05 2022 22: +0,1.88,3772
Feb 05 2022 23: +0,1.886,3317
Feb 06 2022 00: +0,1.93,2882
Feb 06 2022 01: +0,1.932,2351
Feb 06 2022 02: +0,1.966,1882
Feb 06 2022 03: +0,2.012,1655
Feb 06 2022 04: +0,2.04,1907
Feb 06 2022 05: +0,2.04,1487
Feb 06 2022 06: +0,2.047,1489
Feb 06 2022 07: +0,2.043,1527
Feb 06 2022 08: +0,1.96,1332
Feb 06 2022 09: +0,1.96,1614
Feb 06 2022 10: +0,1.92,1826
Feb 06 2022 11: +0,1.84,1812
Feb 06 2022 12: +0,1.794,2156
Feb 06 2022 13: +0,1.75,2506
Feb 06 2022 14: +0,1.734,2648
Feb 06 2022 15: +0,1.714,2819
Feb 06 2022 16: +0,1.714,3145
Feb 06 2022 17: +0,1.7,3350
Feb 06 2022 18: +0,1.669,3426
Feb 06 2022 19: +0,1.67,4060
Feb 06 2022 20: +0,1.681,4157
Feb 06 2022 21: +0,1.69,3979
Feb 06 2022 22: +0,1.636,3163
Feb 06 2022 23: +0,1.668,2916
Feb 07 2022 00: +0,1.67,2223
Feb 07 2022 01: +0,1.7,1709
Feb 07 2022 02: +0,1.764,1717
Feb 07 2022 03: +0,1.79,1737
Feb 07 2022 04: +0,1.8,1671
Feb 07 2022 05: +0,1.8,1632
Feb 07 2022 06: +0,1.828,1687
Feb 07 2022 07: +0,1.8,1318
Feb 07 2022 08: +0,1.73,1384
Feb 07 2022 09: +0,1.705,1692
Feb 07 2022 10: +0,1.68,1648
Feb 07 2022 11: +0,1.63,1710
Feb 07 2022 12: +0,1.673,2127
Feb 07 2022 13: +0,1.625,2163
Feb 07 2022 14: +0,1.609,2500
Feb 07 2022 15: +0,1.653,2777
Feb 07 2022 16: +0,1.623,3056
Feb 07 2022 17: +0,1.64,3379
Feb 07 2022 18: +0,1.612,3305
Feb 07 2022 19: +0,1.6,3883
Feb 07 2022 20: +0,1.577,3675
Feb 07 2022 21: +0,1.578,3728
Feb 07 2022 22: +0,1.599,3399
Feb 07 2022 23: +0,1.616,3269
Feb 08 2022 00: +0,1.61,2119
Feb 08 2022 01: +0,1.701,1800
Feb 08 2022 02: +0,1.729,1568
Feb 08 2022 03: +0,1.714,1609
Feb 08 2022 04: +0,1.718,1673
Feb 08 2022 05: +0,1.72,1508
Feb 08 2022 06: +0,1.72,1062
Feb 08 2022 07: +0,1.656,1139
Feb 08 2022 08: +0,1.654,1446
Feb 08 2022 09: +0,1.668,1534
Feb 08 2022 10: +0,1.604,1662
Feb 08 2022 11: +0,1.611,1696
Feb 08 2022 12: +0,1.573,1758
Feb 08 2022 13: +0,1.52,2094
Feb 08 2022 14: +0,1.531,2292
Feb 08 2022 15: +0,1.542,2593
Feb 08 2022 16: +0,1.553,3127
Feb 08 2022 17: +0,1.579,3221
Feb 08 2022 18: +0,1.519,3253
Feb 08 2022 19: +0,1.496,3367
Feb 08 2022 20: +0,1.498,4155
Feb 08 2022 21: +0,1.485,3580
Feb 08 2022 22: +0,1.484,3179
Feb 08 2022 23: +0,1.484,2336
Feb 09 2022 00: +0,1.53,1807
Feb 09 2022 01: +0,1.54,1792
Feb 09 2022 02: +0,1.576,1425
Feb 09 2022 03: +0,1.57,1500
Feb 09 2022 04: +0,1.56,1498
Feb 09 2022 05: +0,1.549,1375
Feb 09 2022 06: +0,1.52,1576
Feb 09 2022 07: +0,1.49,1551
Feb 09 2022 08: +0,1.486,1640
Feb 09 2022 09: +0,1.511,1758
Feb 09 2022 10: +0,1.489,1500
Feb 09 2022 11: +0,1.491,1902
Feb 09 2022 12: +0,1.444,1928
Feb 09 2022 13: +0,1.416,2145
Feb 09 2022 14: +0,1.441,2326
Feb 09 2022 15: +0,1.385,2449
Feb 09 2022 16: +0,1.392,2748
Feb 09 2022 17: +0,1.415,3168
Feb 09 2022 18: +0,1.358,3184
Feb 09 2022 19: +0,1.393,3541
Feb 09 2022 20: +0,1.392,3675
Feb 09 2022 21: +0,1.376,3609
Feb 09 2022 22: +0,1.397,3465
Feb 09 2022 23: +0,1.394,2823
Feb 10 2022 00: +0,1.41,2022
Feb 10 2022 01: +0,1.46,1691
Feb 10 2022 02: +0,1.519,1855
Feb 10 2022 03: +0,1.53,1393
Feb 10 2022 04: +0,1.535,1670
Feb 10 2022 05: +0,1.54,1178
Feb 10 2022 06: +0,1.56,1282
Feb 10 2022 07: +0,1.54,1203
Feb 10 2022 08: +0,1.549,1382
Feb 10 2022 09: +0,1.535,1611
Feb 10 2022 10: +0,1.449,1389
Feb 10 2022 11: +0,1.495,1886
Feb 10 2022 12: +0,1.466,1739
Feb 10 2022 13: +0,1.439,2055
Feb 10 2022 14: +0,1.462,2260
Feb 10 2022 15: +0,1.423,2257
Feb 10 2022 16: +0,1.45,2808
Feb 10 2022 17: +0,1.461,3182
Feb 10 2022 18: +0,1.474,3607
Feb 10 2022 19: +0,1.417,3322
Feb 10 2022 20: +0,1.417,3743
Feb 10 2022 21: +0,1.405,3583
Feb 10 2022 22: +0,1.43,3351
Feb 10 2022 23: +0,1.436,2610
Feb 11 2022 00: +0,1.482,2404
Feb 11 2022 01: +0,1.573,1951
Feb 11 2022 02: +0,1.6,1666
Feb 11 2022 03: +0,1.58,1631
Feb 11 2022 04: +0,1.607,1368
Feb 11 2022 05: +0,1.61,1261
Feb 11 2022 06: +0,1.62,1353
Feb 11 2022 07: +0,1.608,1126
Feb 11 2022 08: +0,1.596,1250
Feb 11 2022 09: +0,1.526,1157
Feb 11 2022 10: +0,1.52,1400
Feb 11 2022 11: +0,1.46,1649
Feb 11 2022 12: +0,1.5,1930
Feb 11 2022 13: +0,1.505,2193
Feb 11 2022 14: +0,1.448,2094
Feb 11 2022 15: +0,1.482,2860
Feb 11 2022 16: +0,1.482,2740
Feb 11 2022 17: +0,1.5,3176
Feb 11 2022 18: +0,1.482,3735
Feb 11 2022 19: +0,1.467,3674
Feb 11 2022 20: +0,1.47,4017
Feb 11 2022 21: +0,1.48,4293
Feb 11 2022 22: +0,1.47,4060
Feb 11 2022 23: +0,1.537,3729
Feb 12 2022 00: +0,1.588,3347
Feb 12 2022 01: +0,1.616,2798
Feb 12 2022 02: +0,1.639,2257
Feb 12 2022 03: +0,1.65,1854
Feb 12 2022 04: +0,1.65,1688
Feb 12 2022 05: +0,1.68,1773
Feb 12 2022 06: +0,1.7,1949
Feb 12 2022 07: +0,1.707,1560
Feb 12 2022 08: +0,1.715,1503
Feb 12 2022 09: +0,1.605,1433
Feb 12 2022 10: +0,1.514,1590
Feb 12 2022 11: +0,1.493,1812
Feb 12 2022 12: +0,1.457,1972
Feb 12 2022 13: +0,1.49,2458
Feb 12 2022 14: +0,1.448,2542
Feb 12 2022 15: +0,1.474,2659
Feb 12 2022 16: +0,1.447,3119
Feb 12 2022 17: +0,1.479,3742
Feb 12 2022 18: +0,1.45,3277
Feb 12 2022 19: +0,1.457,3846
Feb 12 2022 20: +0,1.452,3934
Feb 12 2022 21: +0,1.46,4458
Feb 12 2022 22: +0,1.425,3470
Feb 12 2022 23: +0,1.438,3324
Feb 13 2022 00: +0,1.45,2738
Feb 13 2022 01: +0,1.51,2313
Feb 13 2022 02: +0,1.59,1960
Feb 13 2022 03: +0,1.57,1904
Feb 13 2022 04: +0,1.57,1689
Feb 13 2022 05: +0,1.604,1556
Feb 13 2022 06: +0,1.617,1502
Feb 13 2022 07: +0,1.61,1355
Feb 13 2022 08: +0,1.572,1515
Feb 13 2022 09: +0,1.502,1412
Feb 13 2022 10: +0,1.434,1666
Feb 13 2022 11: +0,1.434,1978
Feb 13 2022 12: +0,1.434,2275
Feb 13 2022 13: +0,1.425,2338
Feb 13 2022 14: +0,1.438,2959
Feb 13 2022 15: +0,1.44,3347
Feb 13 2022 16: +0,1.473,3472
Feb 13 2022 17: +0,1.435,3274
Feb 13 2022 18: +0,1.4,3462
Feb 13 2022 19: +0,1.411,3966
Feb 13 2022 20: +0,1.39,3735
Feb 13 2022 21: +0,1.383,3383
Feb 13 2022 22: +0,1.4,3373
Feb 13 2022 23: +0,1.408,2638
Feb 14 2022 00: +0,1.419,1853
Feb 14 2022 01: +0,1.402,1219
Feb 14 2022 02: +0,1.4,1080
Feb 14 2022 03: +0,1.442,1010
Feb 14 2022 04: +0,1.46,1182
Feb 14 2022 05: +0,1.46,1374
Feb 14 2022 06: +0,1.45,1232
Feb 14 2022 07: +0,1.42,1533
