Date,Price,Quatity Sold
Aug 19 2016 01: +0,6.067,53561
Aug 20 2016 01: +0,3.38,50523
Aug 21 2016 01: +0,2.37,49860
Aug 22 2016 01: +0,1.911,52561
Aug 23 2016 01: +0,1.589,49667
Aug 24 2016 01: +0,1.466,48270
Aug 25 2016 01: +0,1.453,49827
Aug 26 2016 01: +0,1.366,51698
Aug 27 2016 01: +0,1.352,49327
Aug 28 2016 01: +0,1.131,49189
Aug 29 2016 01: +0,0.999,49980
Aug 30 2016 01: +0,0.896,49326
Aug 31 2016 01: +0,0.925,48677
Sep 01 2016 01: +0,0.969,42808
Sep 02 2016 01: +0,0.996,43557
Sep 03 2016 01: +0,0.899,47720
Sep 04 2016 01: +0,0.758,46987
Sep 05 2016 01: +0,0.819,44603
Sep 06 2016 01: +0,0.764,39699
Sep 07 2016 01: +0,0.737,39249
Sep 08 2016 01: +0,0.706,42325
Sep 09 2016 01: +0,0.737,46842
Sep 10 2016 01: +0,0.665,52340
Sep 11 2016 01: +0,0.574,51941
Sep 12 2016 01: +0,0.594,42383
Sep 13 2016 01: +0,0.593,40376
Sep 14 2016 01: +0,0.596,38142
Sep 15 2016 01: +0,0.61,42946
Sep 16 2016 01: +0,0.615,47436
Sep 17 2016 01: +0,0.525,55710
Sep 18 2016 01: +0,0.479,54398
Sep 19 2016 01: +0,0.481,41990
Sep 20 2016 01: +0,0.503,41425
Sep 21 2016 01: +0,0.512,39347
Sep 22 2016 01: +0,0.511,40872
Sep 23 2016 01: +0,0.519,49567
Sep 24 2016 01: +0,0.48,52373
Sep 25 2016 01: +0,0.431,53852
Sep 26 2016 01: +0,0.426,43049
Sep 27 2016 01: +0,0.434,42051
Sep 28 2016 01: +0,0.448,39293
Sep 29 2016 01: +0,0.454,43546
Sep 30 2016 01: +0,0.465,52250
Oct 01 2016 01: +0,0.452,56812
Oct 02 2016 01: +0,0.433,55667
Oct 03 2016 01: +0,0.431,44838
Oct 04 2016 01: +0,0.433,41501
Oct 05 2016 01: +0,0.429,41349
Oct 06 2016 01: +0,0.423,41509
Oct 07 2016 01: +0,0.378,50572
Oct 08 2016 01: +0,0.303,56084
Oct 09 2016 01: +0,0.256,52024
Oct 10 2016 01: +0,0.263,47427
Oct 11 2016 01: +0,0.314,45749
Oct 12 2016 01: +0,0.32,40553
Oct 13 2016 01: +0,0.315,40411
Oct 14 2016 01: +0,0.309,51701
Oct 15 2016 01: +0,0.276,56661
Oct 16 2016 01: +0,0.26,55566
Oct 17 2016 01: +0,0.277,42432
Oct 18 2016 01: +0,0.279,38506
Oct 19 2016 01: +0,0.287,40371
Oct 20 2016 01: +0,0.289,38501
Oct 21 2016 01: +0,0.288,44081
Oct 22 2016 01: +0,0.26,48081
Oct 23 2016 01: +0,0.239,47639
Oct 24 2016 01: +0,0.231,38757
Oct 25 2016 01: +0,0.229,38660
Oct 26 2016 01: +0,0.23,37492
Oct 27 2016 01: +0,0.226,38592
Oct 28 2016 01: +0,0.216,46480
Oct 29 2016 01: +0,0.199,50276
Oct 30 2016 01: +0,0.178,49313
Oct 31 2016 01: +0,0.171,41800
Nov 01 2016 01: +0,0.179,40743
Nov 02 2016 01: +0,0.199,41832
Nov 03 2016 01: +0,0.205,34339
Nov 04 2016 01: +0,0.224,46701
Nov 05 2016 01: +0,0.197,52027
Nov 06 2016 01: +0,0.191,48210
Nov 07 2016 01: +0,0.181,37781
Nov 08 2016 01: +0,0.173,36395
Nov 09 2016 01: +0,0.172,34425
Nov 10 2016 01: +0,0.164,35290
Nov 11 2016 01: +0,0.171,45586
Nov 12 2016 01: +0,0.167,48626
Nov 13 2016 01: +0,0.156,45720
Nov 14 2016 01: +0,0.147,36882
Nov 15 2016 01: +0,0.151,36567
Nov 16 2016 01: +0,0.15,34668
Nov 17 2016 01: +0,0.148,34715
Nov 18 2016 01: +0,0.149,39572
Nov 19 2016 01: +0,0.15,46024
Nov 20 2016 01: +0,0.137,42941
Nov 21 2016 01: +0,0.134,36404
Nov 22 2016 01: +0,0.129,33576
Nov 23 2016 01: +0,0.123,34176
Nov 24 2016 01: +0,0.119,39259
Nov 25 2016 01: +0,0.119,47753
Nov 26 2016 01: +0,0.116,49458
Nov 27 2016 01: +0,0.104,43686
Nov 28 2016 01: +0,0.1,37172
Nov 29 2016 01: +0,0.097,44600
Nov 30 2016 01: +0,0.098,43407
Dec 01 2016 01: +0,0.105,42337
Dec 02 2016 01: +0,0.096,42708
Dec 03 2016 01: +0,0.091,47548
Dec 04 2016 01: +0,0.081,49833
Dec 05 2016 01: +0,0.078,39688
Dec 06 2016 01: +0,0.078,37660
Dec 07 2016 01: +0,0.073,37660
Dec 08 2016 01: +0,0.068,41908
Dec 09 2016 01: +0,0.075,36426
Dec 10 2016 01: +0,0.075,42650
Dec 11 2016 01: +0,0.066,41342
Dec 12 2016 01: +0,0.059,34676
Dec 13 2016 01: +0,0.055,31957
Dec 14 2016 01: +0,0.052,34139
Dec 15 2016 01: +0,0.051,33566
Dec 16 2016 01: +0,0.049,35860
Dec 17 2016 01: +0,0.047,44009
Dec 18 2016 01: +0,0.041,39976
Dec 19 2016 01: +0,0.036,27535
Dec 20 2016 01: +0,0.039,28388
Dec 21 2016 01: +0,0.042,29336
Dec 22 2016 01: +0,0.041,31395
Dec 23 2016 01: +0,0.039,28042
Dec 24 2016 01: +0,0.041,44582
Dec 25 2016 01: +0,0.048,56570
Dec 26 2016 01: +0,0.052,58658
Dec 27 2016 01: +0,0.052,49605
Dec 28 2016 01: +0,0.049,50307
Dec 29 2016 01: +0,0.042,57639
Dec 30 2016 01: +0,0.043,57391
Dec 31 2016 01: +0,0.049,49943
Jan 01 2017 01: +0,0.049,52860
Jan 02 2017 01: +0,0.049,51008
Jan 03 2017 01: +0,0.05,45721
Jan 04 2017 01: +0,0.05,46235
Jan 05 2017 01: +0,0.049,42151
Jan 06 2017 01: +0,0.051,49645
Jan 07 2017 01: +0,0.05,47977
Jan 08 2017 01: +0,0.047,50764
Jan 09 2017 01: +0,0.047,44685
Jan 10 2017 01: +0,0.044,46090
Jan 11 2017 01: +0,0.044,47347
Jan 12 2017 01: +0,0.043,41886
Jan 13 2017 01: +0,0.047,56070
Jan 14 2017 01: +0,0.042,66273
Jan 15 2017 01: +0,0.046,55119
Jan 16 2017 01: +0,0.044,39560
Jan 17 2017 01: +0,0.036,36945
Jan 18 2017 01: +0,0.035,37487
Jan 19 2017 01: +0,0.035,36025
Jan 20 2017 01: +0,0.035,43750
Jan 21 2017 01: +0,0.033,55520
Jan 22 2017 01: +0,0.035,44396
Jan 23 2017 01: +0,0.031,36222
Jan 24 2017 01: +0,0.03,35855
Jan 25 2017 01: +0,0.032,43733
Jan 26 2017 01: +0,0.03,42133
Jan 27 2017 01: +0,0.031,48417
Jan 28 2017 01: +0,0.034,51593
Jan 29 2017 01: +0,0.032,48629
Jan 30 2017 01: +0,0.03,44527
Jan 31 2017 01: +0,0.031,45886
Feb 01 2017 01: +0,0.031,46168
Feb 02 2017 01: +0,0.032,42595
Feb 03 2017 01: +0,0.037,42875
Feb 04 2017 01: +0,0.04,52294
Feb 05 2017 01: +0,0.03,62107
Feb 06 2017 01: +0,0.034,54757
Feb 07 2017 01: +0,0.034,55571
Feb 08 2017 01: +0,0.039,46480
Feb 09 2017 01: +0,0.043,41585
Feb 10 2017 01: +0,0.035,46247
Feb 11 2017 01: +0,0.036,69717
Feb 12 2017 01: +0,0.037,57097
Feb 13 2017 01: +0,0.038,46679
Feb 14 2017 01: +0,0.038,44781
