Date,Price,Quatity Sold
Jun 16 2016 01: +0,10.789,65943
Jun 17 2016 01: +0,7.049,58459
Jun 18 2016 01: +0,5.918,58243
Jun 19 2016 01: +0,5.097,57399
Jun 20 2016 01: +0,4.557,53421
Jun 21 2016 01: +0,4.128,53467
Jun 22 2016 01: +0,4.022,51857
Jun 23 2016 01: +0,3.722,53129
Jun 24 2016 01: +0,3.678,52885
Jun 25 2016 01: +0,3.275,52604
Jun 26 2016 01: +0,3.068,56617
Jun 27 2016 01: +0,2.804,56502
Jun 28 2016 01: +0,2.627,54704
Jun 29 2016 01: +0,2.553,50779
Jun 30 2016 01: +0,2.639,53725
Jul 01 2016 01: +0,2.791,53349
Jul 02 2016 01: +0,2.741,51120
Jul 03 2016 01: +0,2.479,51504
Jul 04 2016 01: +0,2.177,59948
Jul 05 2016 01: +0,2.157,53330
Jul 06 2016 01: +0,2.196,53838
Jul 07 2016 01: +0,2.108,53974
Jul 08 2016 01: +0,2.168,55728
Jul 09 2016 01: +0,2.119,52290
Jul 10 2016 01: +0,1.892,54374
Jul 11 2016 01: +0,1.717,54689
Jul 12 2016 01: +0,1.739,59329
Jul 13 2016 01: +0,1.862,48760
Jul 14 2016 01: +0,1.683,54101
Jul 15 2016 01: +0,1.708,55013
Jul 16 2016 01: +0,1.748,51733
Jul 17 2016 01: +0,1.62,49939
Jul 18 2016 01: +0,1.422,54291
Jul 19 2016 01: +0,1.339,52355
Jul 20 2016 01: +0,1.298,49635
Jul 21 2016 01: +0,1.222,49044
Jul 22 2016 01: +0,1.265,51658
Jul 23 2016 01: +0,1.305,49442
Jul 24 2016 01: +0,1.235,49250
Jul 25 2016 01: +0,1.208,53922
Jul 26 2016 01: +0,1.175,50929
Jul 27 2016 01: +0,1.125,52653
Jul 28 2016 01: +0,1.145,53691
Jul 29 2016 01: +0,1.238,56897
Jul 30 2016 01: +0,1.288,52525
Jul 31 2016 01: +0,1.244,51460
Aug 01 2016 01: +0,1.146,50911
Aug 02 2016 01: +0,1.092,52685
Aug 03 2016 01: +0,1.036,49999
Aug 04 2016 01: +0,1.031,52968
Aug 05 2016 01: +0,1.072,52219
Aug 06 2016 01: +0,1.058,49503
Aug 07 2016 01: +0,0.984,48563
Aug 08 2016 01: +0,0.909,50933
Aug 09 2016 01: +0,0.868,50009
Aug 10 2016 01: +0,0.86,50326
Aug 11 2016 01: +0,0.874,50832
