Date,Price,Quatity Sold
Aug 03 2018 01: +0,9.35,39644
Aug 04 2018 01: +0,5.898,38779
Aug 05 2018 01: +0,4.899,38891
Aug 06 2018 01: +0,4.212,37353
Aug 07 2018 01: +0,3.625,36428
Aug 08 2018 01: +0,3.304,35160
Aug 09 2018 01: +0,3.167,33391
Aug 10 2018 01: +0,2.833,35434
Aug 11 2018 01: +0,2.64,35174
Aug 12 2018 01: +0,2.347,36741
Aug 13 2018 01: +0,2.054,36533
Aug 14 2018 01: +0,1.841,34922
Aug 15 2018 01: +0,1.779,34127
Aug 16 2018 01: +0,1.672,36520
Aug 17 2018 01: +0,1.708,35348
Aug 18 2018 01: +0,1.682,36093
Aug 19 2018 01: +0,1.527,36365
Aug 20 2018 01: +0,1.262,35217
Aug 21 2018 01: +0,1.163,34478
Aug 22 2018 01: +0,1.137,32704
Aug 23 2018 01: +0,1.124,34557
Aug 24 2018 01: +0,1.215,36543
Aug 25 2018 01: +0,1.226,34711
Aug 26 2018 01: +0,1.098,36991
Aug 27 2018 01: +0,0.979,34851
Aug 28 2018 01: +0,0.896,34450
Aug 29 2018 01: +0,0.838,34354
Aug 30 2018 01: +0,0.835,37350
Aug 31 2018 01: +0,0.887,38443
Sep 01 2018 01: +0,0.956,36291
Sep 02 2018 01: +0,0.858,34236
Sep 03 2018 01: +0,0.826,33403
Sep 04 2018 01: +0,0.831,30130
Sep 05 2018 01: +0,0.77,28994
Sep 06 2018 01: +0,0.744,30394
Sep 07 2018 01: +0,0.731,35013
Sep 08 2018 01: +0,0.7,38732
Sep 09 2018 01: +0,0.635,37525
Sep 10 2018 01: +0,0.613,33106
Sep 11 2018 01: +0,0.622,32827
Sep 12 2018 01: +0,0.65,31156
Sep 13 2018 01: +0,0.658,32020
Sep 14 2018 01: +0,0.685,36779
Sep 15 2018 01: +0,0.666,41441
Sep 16 2018 01: +0,0.58,37905
Sep 17 2018 01: +0,0.538,32637
Sep 18 2018 01: +0,0.582,31135
Sep 19 2018 01: +0,0.598,29866
Sep 20 2018 01: +0,0.575,30085
Sep 21 2018 01: +0,0.61,35519
Sep 22 2018 01: +0,0.552,41863
Sep 23 2018 01: +0,0.498,41990
Sep 24 2018 01: +0,0.506,32974
Sep 25 2018 01: +0,0.521,32717
Sep 26 2018 01: +0,0.537,31028
Sep 27 2018 01: +0,0.567,32955
Sep 28 2018 01: +0,0.599,38440
Sep 29 2018 01: +0,0.582,41462
Sep 30 2018 01: +0,0.557,39801
Oct 01 2018 01: +0,0.576,33711
Oct 02 2018 01: +0,0.59,31165
Oct 03 2018 01: +0,0.548,34145
Oct 04 2018 01: +0,0.468,35783
Oct 05 2018 01: +0,0.447,43536
Oct 06 2018 01: +0,0.393,46496
Oct 07 2018 01: +0,0.362,44874
Oct 08 2018 01: +0,0.364,37017
Oct 09 2018 01: +0,0.375,35013
Oct 10 2018 01: +0,0.377,35787
Oct 11 2018 01: +0,0.366,35445
Oct 12 2018 01: +0,0.349,42010
Oct 13 2018 01: +0,0.31,45128
Oct 14 2018 01: +0,0.289,43999
Oct 15 2018 01: +0,0.304,38165
Oct 16 2018 01: +0,0.306,29947
Oct 17 2018 01: +0,0.308,32126
Oct 18 2018 01: +0,0.306,32123
Oct 19 2018 01: +0,0.298,35465
Oct 20 2018 01: +0,0.257,39557
Oct 21 2018 01: +0,0.222,39610
Oct 22 2018 01: +0,0.211,33722
Oct 23 2018 01: +0,0.219,31002
Oct 24 2018 01: +0,0.219,32155
Oct 25 2018 01: +0,0.226,34232
Oct 26 2018 01: +0,0.238,37187
Oct 27 2018 01: +0,0.232,40385
Oct 28 2018 01: +0,0.209,37010
Oct 29 2018 01: +0,0.195,33935
Oct 30 2018 01: +0,0.2,35205
Oct 31 2018 01: +0,0.209,34450
Nov 01 2018 01: +0,0.213,34480
Nov 02 2018 01: +0,0.221,35202
Nov 03 2018 01: +0,0.214,38756
Nov 04 2018 01: +0,0.201,36069
Nov 05 2018 01: +0,0.189,30292
Nov 06 2018 01: +0,0.197,28743
Nov 07 2018 01: +0,0.202,28837
Nov 08 2018 01: +0,0.198,30185
Nov 09 2018 01: +0,0.198,34325
Nov 10 2018 01: +0,0.186,37962
Nov 11 2018 01: +0,0.166,35695
Nov 12 2018 01: +0,0.158,30051
Nov 13 2018 01: +0,0.154,25698
Nov 14 2018 01: +0,0.152,29689
Nov 15 2018 01: +0,0.152,31444
Nov 16 2018 01: +0,0.156,34381
Nov 17 2018 01: +0,0.156,39176
Nov 18 2018 01: +0,0.149,37666
Nov 19 2018 01: +0,0.149,29822
Nov 20 2018 01: +0,0.138,28909
Nov 21 2018 01: +0,0.136,30209
Nov 22 2018 01: +0,0.136,30910
Nov 23 2018 01: +0,0.133,37214
Nov 24 2018 01: +0,0.131,39537
Nov 25 2018 01: +0,0.12,36901
Nov 26 2018 01: +0,0.108,26599
Nov 27 2018 01: +0,0.098,28018
Nov 28 2018 01: +0,0.103,27196
Nov 29 2018 01: +0,0.115,27859
Nov 30 2018 01: +0,0.125,32441
Dec 01 2018 01: +0,0.119,37330
Dec 02 2018 01: +0,0.118,36272
Dec 03 2018 01: +0,0.12,27077
Dec 04 2018 01: +0,0.125,27728
Dec 05 2018 01: +0,0.127,28407
Dec 06 2018 01: +0,0.126,28372
Dec 07 2018 01: +0,0.101,45100
Dec 08 2018 01: +0,0.075,39933
Dec 09 2018 01: +0,0.055,35481
Dec 10 2018 01: +0,0.047,29370
Dec 11 2018 01: +0,0.046,26183
Dec 12 2018 01: +0,0.045,24462
Dec 13 2018 01: +0,0.045,25693
Dec 14 2018 01: +0,0.043,29264
Dec 15 2018 01: +0,0.042,28703
Dec 16 2018 01: +0,0.038,28752
Dec 17 2018 01: +0,0.034,21749
Dec 18 2018 01: +0,0.03,20541
Dec 19 2018 01: +0,0.03,18370
Dec 20 2018 01: +0,0.03,21738
Dec 21 2018 01: +0,0.03,26895
Dec 22 2018 01: +0,0.03,29665
Dec 23 2018 01: +0,0.03,26232
Dec 24 2018 01: +0,0.03,27264
Dec 25 2018 01: +0,0.032,31200
Dec 26 2018 01: +0,0.03,27137
Dec 27 2018 01: +0,0.03,26139
Dec 28 2018 01: +0,0.03,27627
Dec 29 2018 01: +0,0.03,27161
Dec 30 2018 01: +0,0.03,23551
Dec 31 2018 01: +0,0.03,23398
Jan 01 2019 01: +0,0.03,23538
Jan 02 2019 01: +0,0.03,25570
Jan 03 2019 01: +0,0.03,23240
