Date,Price,Quatity Sold
Feb 21 2014 01: +0,6.793,24633
Feb 22 2014 01: +0,4.535,23002
Feb 23 2014 01: +0,4.728,15030
Feb 24 2014 01: +0,5.088,9626
Feb 25 2014 01: +0,5.72,7735
Feb 26 2014 01: +0,5.73,6394
Feb 27 2014 01: +0,6.027,5712
Feb 28 2014 01: +0,4.609,16631
Mar 01 2014 01: +0,2.939,23021
Mar 02 2014 01: +0,2.924,19091
Mar 03 2014 01: +0,2.998,14288
Mar 04 2014 01: +0,3.356,11448
Mar 05 2014 01: +0,3.193,9745
Mar 06 2014 01: +0,3.466,9786
Mar 07 2014 01: +0,3.159,14414
Mar 08 2014 01: +0,2.269,19693
Mar 09 2014 01: +0,1.951,20630
Mar 10 2014 01: +0,2.142,16623
Mar 11 2014 01: +0,2.317,13511
Mar 12 2014 01: +0,2.439,12070
Mar 13 2014 01: +0,2.572,8442
Mar 14 2014 01: +0,2.592,12853
Mar 15 2014 01: +0,1.88,22674
Mar 16 2014 01: +0,1.553,23995
Mar 17 2014 01: +0,1.536,21086
Mar 18 2014 01: +0,1.783,17247
Mar 19 2014 01: +0,1.803,16872
Mar 20 2014 01: +0,1.893,15383
Mar 21 2014 01: +0,1.915,15678
Mar 22 2014 01: +0,1.756,19250
Mar 23 2014 01: +0,1.539,19664
Mar 24 2014 01: +0,1.488,18824
Mar 25 2014 01: +0,1.6,17059
Mar 26 2014 01: +0,1.658,17468
Mar 27 2014 01: +0,1.741,16634
Mar 28 2014 01: +0,1.728,17106
Mar 29 2014 01: +0,1.651,19542
Mar 30 2014 01: +0,1.541,20432
Mar 31 2014 01: +0,1.515,19506
Apr 01 2014 01: +0,1.665,15409
Apr 02 2014 01: +0,1.465,18325
Apr 03 2014 01: +0,1.428,19349
Apr 04 2014 01: +0,1.418,22703
Apr 05 2014 01: +0,1.372,23493
Apr 06 2014 01: +0,1.303,23603
Apr 07 2014 01: +0,1.308,21409
Apr 08 2014 01: +0,1.324,19743
Apr 09 2014 01: +0,1.311,19809
Apr 10 2014 01: +0,1.299,20293
Apr 11 2014 01: +0,1.354,24250
Apr 12 2014 01: +0,1.338,23917
Apr 13 2014 01: +0,1.273,23192
Apr 14 2014 01: +0,1.248,24178
Apr 15 2014 01: +0,1.287,24713
Apr 16 2014 01: +0,1.301,23981
Apr 17 2014 01: +0,1.302,24297
Apr 18 2014 01: +0,1.32,23994
Apr 19 2014 01: +0,1.304,24353
Apr 20 2014 01: +0,1.288,26116
Apr 21 2014 01: +0,1.272,24515
Apr 22 2014 01: +0,1.272,24463
Apr 23 2014 01: +0,1.272,23621
Apr 24 2014 01: +0,1.285,24609
Apr 25 2014 01: +0,1.379,27268
Apr 26 2014 01: +0,1.341,26182
Apr 27 2014 01: +0,1.294,26085
Apr 28 2014 01: +0,1.281,24595
Apr 29 2014 01: +0,1.28,25646
Apr 30 2014 01: +0,1.365,30105
May 01 2014 01: +0,1.399,26924
May 02 2014 01: +0,1.106,31834
May 03 2014 01: +0,1.005,30089
May 04 2014 01: +0,0.92,30870
May 05 2014 01: +0,0.885,29223
May 06 2014 01: +0,0.869,26105
May 07 2014 01: +0,0.85,24382
May 08 2014 01: +0,0.836,26998
May 09 2014 01: +0,0.839,32203
May 10 2014 01: +0,0.782,29279
May 11 2014 01: +0,0.641,28559
May 12 2014 01: +0,0.573,24289
May 13 2014 01: +0,0.547,25145
May 14 2014 01: +0,0.546,27455
May 15 2014 01: +0,0.568,28466
May 16 2014 01: +0,0.564,28585
May 17 2014 01: +0,0.523,28953
May 18 2014 01: +0,0.472,28367
May 19 2014 01: +0,0.445,25468
May 20 2014 01: +0,0.443,27540
May 21 2014 01: +0,0.437,29683
May 22 2014 01: +0,0.436,30297
May 23 2014 01: +0,0.502,43200
May 24 2014 01: +0,0.549,35418
May 25 2014 01: +0,0.501,33360
May 26 2014 01: +0,0.472,31758
May 27 2014 01: +0,0.452,32373
May 28 2014 01: +0,0.479,38310
May 29 2014 01: +0,0.517,38541
May 30 2014 01: +0,0.577,36704
May 31 2014 01: +0,0.546,31259
Jun 01 2014 01: +0,0.503,33955
Jun 02 2014 01: +0,0.519,41025
Jun 03 2014 01: +0,0.606,41593
Jun 04 2014 01: +0,0.63,34508
Jun 05 2014 01: +0,0.564,28023
Jun 06 2014 01: +0,0.509,30460
Jun 07 2014 01: +0,0.472,33604
Jun 08 2014 01: +0,0.425,32842
Jun 09 2014 01: +0,0.397,30483
Jun 10 2014 01: +0,0.382,32133
Jun 11 2014 01: +0,0.372,32098
Jun 12 2014 01: +0,0.521,63752
Jun 13 2014 01: +0,0.521,36364
Jun 14 2014 01: +0,0.488,36105
Jun 15 2014 01: +0,0.431,33767
Jun 16 2014 01: +0,0.413,35978
Jun 17 2014 01: +0,0.41,32341
Jun 18 2014 01: +0,0.396,34195
Jun 19 2014 01: +0,0.367,37629
Jun 20 2014 01: +0,0.307,37585
Jun 21 2014 01: +0,0.281,37259
Jun 22 2014 01: +0,0.257,37110
Jun 23 2014 01: +0,0.243,36399
Jun 24 2014 01: +0,0.238,37174
Jun 25 2014 01: +0,0.253,43173
Jun 26 2014 01: +0,0.264,39653
Jun 27 2014 01: +0,0.28,43285
Jun 28 2014 01: +0,0.283,41914
Jun 29 2014 01: +0,0.28,45539
Jun 30 2014 01: +0,0.292,48832
Jul 01 2014 01: +0,0.359,49953
Jul 02 2014 01: +0,0.237,60334
Jul 03 2014 01: +0,0.22,47458
Jul 04 2014 01: +0,0.25,41768
Jul 05 2014 01: +0,0.257,43366
Jul 06 2014 01: +0,0.259,42884
Jul 07 2014 01: +0,0.255,43289
Jul 08 2014 01: +0,0.252,40457
Jul 09 2014 01: +0,0.255,42873
Jul 10 2014 01: +0,0.244,40605
Jul 11 2014 01: +0,0.223,44525
Jul 12 2014 01: +0,0.22,39987
Jul 13 2014 01: +0,0.215,38199
Jul 14 2014 01: +0,0.214,41246
Jul 15 2014 01: +0,0.216,40987
Jul 16 2014 01: +0,0.224,40654
Jul 17 2014 01: +0,0.238,35422
Jul 18 2014 01: +0,0.254,33442
Jul 19 2014 01: +0,0.269,33424
Jul 20 2014 01: +0,0.262,32214
Jul 21 2014 01: +0,0.249,30726
Jul 22 2014 01: +0,0.235,32062
Jul 23 2014 01: +0,0.228,35711
Jul 24 2014 01: +0,0.229,37662
Jul 25 2014 01: +0,0.25,46397
Jul 26 2014 01: +0,0.282,48654
Jul 27 2014 01: +0,0.326,47186
Jul 28 2014 01: +0,0.404,46885
Jul 29 2014 01: +0,0.393,39059
Jul 30 2014 01: +0,0.368,33531
Jul 31 2014 01: +0,0.346,37588
Aug 01 2014 01: +0,0.387,45701
Aug 02 2014 01: +0,0.419,40432
Aug 03 2014 01: +0,0.409,38195
Aug 04 2014 01: +0,0.397,40202
Aug 05 2014 01: +0,0.352,44226
Aug 06 2014 01: +0,0.341,41880
Aug 07 2014 01: +0,0.354,43014
Aug 08 2014 01: +0,0.364,42929
Aug 09 2014 01: +0,0.381,40822
Aug 10 2014 01: +0,0.371,37060
Aug 11 2014 01: +0,0.362,40298
Aug 12 2014 01: +0,0.367,40911
Aug 13 2014 01: +0,0.371,40409
Aug 14 2014 01: +0,0.352,42073
Aug 15 2014 01: +0,0.367,50387
Aug 16 2014 01: +0,0.383,47429
Aug 17 2014 01: +0,0.282,58490
Aug 18 2014 01: +0,0.297,46263
Aug 19 2014 01: +0,0.355,46753
Aug 20 2014 01: +0,0.367,46294
Aug 21 2014 01: +0,0.378,48257
Aug 22 2014 01: +0,0.404,51080
Aug 23 2014 01: +0,0.446,53036
Aug 24 2014 01: +0,0.468,48009
Aug 25 2014 01: +0,0.501,54571
Aug 26 2014 01: +0,0.542,46873
Aug 27 2014 01: +0,0.549,43804
Aug 28 2014 01: +0,0.556,43801
Aug 29 2014 01: +0,0.604,52705
Aug 30 2014 01: +0,0.682,48938
Aug 31 2014 01: +0,0.651,43421
Sep 01 2014 01: +0,0.627,44033
Sep 02 2014 01: +0,0.656,43175
Sep 03 2014 01: +0,0.654,37761
Sep 04 2014 01: +0,0.592,30900
Sep 05 2014 01: +0,0.539,37523
Sep 06 2014 01: +0,0.517,46296
Sep 07 2014 01: +0,0.5,42518
Sep 08 2014 01: +0,0.497,37131
Sep 09 2014 01: +0,0.497,35882
Sep 10 2014 01: +0,0.507,36945
Sep 11 2014 01: +0,0.498,43433
Sep 12 2014 01: +0,0.498,45636
Sep 13 2014 01: +0,0.474,50531
Sep 14 2014 01: +0,0.441,45370
Sep 15 2014 01: +0,0.445,39731
Sep 16 2014 01: +0,0.418,37102
Sep 17 2014 01: +0,0.419,38445
Sep 18 2014 01: +0,0.424,38092
Sep 19 2014 01: +0,0.433,42485
Sep 20 2014 01: +0,0.404,45950
Sep 21 2014 01: +0,0.368,39983
Sep 22 2014 01: +0,0.359,37277
Sep 23 2014 01: +0,0.36,36753
Sep 24 2014 01: +0,0.369,36589
Sep 25 2014 01: +0,0.388,41140
Sep 26 2014 01: +0,0.397,42421
Sep 27 2014 01: +0,0.381,44994
Sep 28 2014 01: +0,0.366,47249
Sep 29 2014 01: +0,0.389,42495
Sep 30 2014 01: +0,0.409,43029
Oct 01 2014 01: +0,0.423,41243
Oct 02 2014 01: +0,0.404,40356
Oct 03 2014 01: +0,0.387,45548
Oct 04 2014 01: +0,0.367,49649
Oct 05 2014 01: +0,0.341,47803
Oct 06 2014 01: +0,0.345,44449
Oct 07 2014 01: +0,0.354,40274
Oct 08 2014 01: +0,0.358,40695
Oct 09 2014 01: +0,0.358,41553
Oct 10 2014 01: +0,0.377,49087
Oct 11 2014 01: +0,0.364,51425
Oct 12 2014 01: +0,0.34,50542
Oct 13 2014 01: +0,0.338,45081
Oct 14 2014 01: +0,0.337,42572
Oct 15 2014 01: +0,0.348,44177
Oct 16 2014 01: +0,0.347,41548
Oct 17 2014 01: +0,0.348,48757
Oct 18 2014 01: +0,0.34,54335
Oct 19 2014 01: +0,0.309,46754
Oct 20 2014 01: +0,0.293,40884
Oct 21 2014 01: +0,0.292,40059
Oct 22 2014 01: +0,0.29,39997
Oct 23 2014 01: +0,0.282,43893
Oct 24 2014 01: +0,0.307,53374
Oct 25 2014 01: +0,0.297,53623
Oct 26 2014 01: +0,0.268,55572
Oct 27 2014 01: +0,0.263,45194
Oct 28 2014 01: +0,0.268,46757
Oct 29 2014 01: +0,0.287,46589
Oct 30 2014 01: +0,0.281,46838
Oct 31 2014 01: +0,0.302,62544
Nov 01 2014 01: +0,0.302,57499
Nov 02 2014 01: +0,0.271,55383
Nov 03 2014 01: +0,0.256,45468
Nov 04 2014 01: +0,0.27,44847
Nov 05 2014 01: +0,0.283,43570
Nov 06 2014 01: +0,0.271,43129
Nov 07 2014 01: +0,0.279,51857
Nov 08 2014 01: +0,0.274,55407
Nov 09 2014 01: +0,0.245,49510
Nov 10 2014 01: +0,0.238,44200
Nov 11 2014 01: +0,0.238,42991
Nov 12 2014 01: +0,0.191,62005
Nov 13 2014 01: +0,0.167,42465
Nov 14 2014 01: +0,0.172,46442
Nov 15 2014 01: +0,0.162,50438
Nov 16 2014 01: +0,0.137,44329
Nov 17 2014 01: +0,0.137,40714
Nov 18 2014 01: +0,0.156,37359
Nov 19 2014 01: +0,0.145,31622
Nov 20 2014 01: +0,0.135,35832
Nov 21 2014 01: +0,0.126,36908
Nov 22 2014 01: +0,0.115,42136
Nov 23 2014 01: +0,0.108,37390
Nov 24 2014 01: +0,0.111,34400
Nov 25 2014 01: +0,0.124,36748
Nov 26 2014 01: +0,0.129,40369
Nov 27 2014 01: +0,0.129,47594
Nov 28 2014 01: +0,0.145,52360
Nov 29 2014 01: +0,0.142,46651
Nov 30 2014 01: +0,0.121,56080
Dec 01 2014 01: +0,0.129,46457
Dec 02 2014 01: +0,0.136,44495
Dec 03 2014 01: +0,0.145,42693
Dec 04 2014 01: +0,0.157,42094
Dec 05 2014 01: +0,0.166,50942
Dec 06 2014 01: +0,0.182,61083
Dec 07 2014 01: +0,0.175,55265
Dec 08 2014 01: +0,0.18,48521
Dec 09 2014 01: +0,0.191,45844
Dec 10 2014 01: +0,0.187,48945
Dec 11 2014 01: +0,0.176,50398
Dec 12 2014 01: +0,0.173,55869
Dec 13 2014 01: +0,0.17,65494
