Date,Price,Quatity Sold
Nov 12 2014 01: +0,1.094,213954
Nov 13 2014 01: +0,0.766,127058
Nov 14 2014 01: +0,0.73,96095
Nov 15 2014 01: +0,0.622,93507
Nov 16 2014 01: +0,0.455,82920
Nov 17 2014 01: +0,0.511,55652
Nov 18 2014 01: +0,0.57,44624
Nov 19 2014 01: +0,0.416,51682
Nov 20 2014 01: +0,0.269,53060
Nov 21 2014 01: +0,0.191,60246
Nov 22 2014 01: +0,0.154,56532
Nov 23 2014 01: +0,0.139,49914
Nov 24 2014 01: +0,0.162,41826
Nov 25 2014 01: +0,0.203,41004
Nov 26 2014 01: +0,0.197,44475
Nov 27 2014 01: +0,0.16,51873
Nov 28 2014 01: +0,0.154,56386
Nov 29 2014 01: +0,0.147,49742
Nov 30 2014 01: +0,0.11,58608
Dec 01 2014 01: +0,0.108,44213
Dec 02 2014 01: +0,0.117,39201
Dec 03 2014 01: +0,0.111,40467
Dec 04 2014 01: +0,0.098,39954
Dec 05 2014 01: +0,0.089,46608
Dec 06 2014 01: +0,0.087,57142
Dec 07 2014 01: +0,0.076,51804
Dec 08 2014 01: +0,0.073,44938
Dec 09 2014 01: +0,0.081,53864
Dec 10 2014 01: +0,0.141,117250
Dec 11 2014 01: +0,0.108,51271
Dec 12 2014 01: +0,0.09,51801
Dec 13 2014 01: +0,0.076,58936
Dec 14 2014 01: +0,0.068,59334
Dec 15 2014 01: +0,0.071,48257
Dec 16 2014 01: +0,0.073,44176
Dec 17 2014 01: +0,0.072,47066
Dec 18 2014 01: +0,0.071,47145
Dec 19 2014 01: +0,0.07,54430
Dec 20 2014 01: +0,0.063,52054
Dec 21 2014 01: +0,0.056,55469
Dec 22 2014 01: +0,0.059,52844
Dec 23 2014 01: +0,0.062,52314
Dec 24 2014 01: +0,0.07,60171
Dec 25 2014 01: +0,0.087,73747
Dec 26 2014 01: +0,0.099,78217
Dec 27 2014 01: +0,0.092,72664
Dec 28 2014 01: +0,0.081,63625
Dec 29 2014 01: +0,0.079,62762
Dec 30 2014 01: +0,0.083,65244
Dec 31 2014 01: +0,0.082,61297
Jan 01 2015 01: +0,0.085,60158
Jan 02 2015 01: +0,0.084,77765
Jan 03 2015 01: +0,0.086,75114
Jan 04 2015 01: +0,0.084,76919
Jan 05 2015 01: +0,0.082,66239
Jan 06 2015 01: +0,0.079,60701
Jan 07 2015 01: +0,0.08,59235
Jan 08 2015 01: +0,0.08,63545
Jan 09 2015 01: +0,0.074,81634
Jan 10 2015 01: +0,0.069,79911
Jan 11 2015 01: +0,0.062,81413
Jan 12 2015 01: +0,0.06,63918
Jan 13 2015 01: +0,0.058,60217
Jan 14 2015 01: +0,0.058,64528
Jan 15 2015 01: +0,0.056,62053
Jan 16 2015 01: +0,0.055,65749
Jan 17 2015 01: +0,0.055,74348
Jan 18 2015 01: +0,0.05,71184
Jan 19 2015 01: +0,0.049,57213
Jan 20 2015 01: +0,0.048,52989
Jan 21 2015 01: +0,0.046,53723
Jan 22 2015 01: +0,0.045,53385
Jan 23 2015 01: +0,0.047,64879
Jan 24 2015 01: +0,0.045,68628
Jan 25 2015 01: +0,0.042,76894
Jan 26 2015 01: +0,0.04,60000
Jan 27 2015 01: +0,0.041,56371
Jan 28 2015 01: +0,0.04,59509
Jan 29 2015 01: +0,0.042,53555
Jan 30 2015 01: +0,0.04,64521
Jan 31 2015 01: +0,0.04,71666
Feb 01 2015 01: +0,0.039,70415
Feb 02 2015 01: +0,0.037,58569
Feb 03 2015 01: +0,0.04,57589
Feb 04 2015 01: +0,0.036,58540
Feb 05 2015 01: +0,0.036,62427
Feb 06 2015 01: +0,0.037,61084
Feb 07 2015 01: +0,0.036,71950
Feb 08 2015 01: +0,0.035,77375
Feb 09 2015 01: +0,0.033,64790
Feb 10 2015 01: +0,0.036,56135
Feb 11 2015 01: +0,0.034,59954
Feb 12 2015 01: +0,0.033,64004
Feb 13 2015 01: +0,0.032,70795
Feb 14 2015 01: +0,0.034,83522
Feb 15 2015 01: +0,0.03,78454
Feb 16 2015 01: +0,0.03,67277
Feb 17 2015 01: +0,0.03,62935
Feb 18 2015 01: +0,0.03,59251
Feb 19 2015 01: +0,0.03,66681
Feb 20 2015 01: +0,0.03,74316
