Date,Price,Quatity Sold
Feb 18 2016 01: +0,4.366,189083
Feb 19 2016 01: +0,2.228,175047
Feb 20 2016 01: +0,2.35,118703
Feb 21 2016 01: +0,2.335,78181
Feb 22 2016 01: +0,2.644,49721
Feb 23 2016 01: +0,2.677,40393
Feb 24 2016 01: +0,2.836,33586
Feb 25 2016 01: +0,1.931,86522
Feb 26 2016 01: +0,0.927,134999
Feb 27 2016 01: +0,0.832,134130
Feb 28 2016 01: +0,0.914,77318
Feb 29 2016 01: +0,1.053,76131
Mar 01 2016 01: +0,1.079,58973
Mar 02 2016 01: +0,1.079,53228
Mar 03 2016 01: +0,1.003,64325
Mar 04 2016 01: +0,0.61,108019
Mar 05 2016 01: +0,0.455,125282
Mar 06 2016 01: +0,0.42,107069
Mar 07 2016 01: +0,0.457,79584
Mar 08 2016 01: +0,0.526,62970
Mar 09 2016 01: +0,0.538,55778
Mar 10 2016 01: +0,0.619,50209
Mar 11 2016 01: +0,0.52,70478
Mar 12 2016 01: +0,0.362,90155
Mar 13 2016 01: +0,0.325,85601
Mar 14 2016 01: +0,0.325,64116
Mar 15 2016 01: +0,0.328,58899
Mar 16 2016 01: +0,0.331,57000
Mar 17 2016 01: +0,0.338,58283
Mar 18 2016 01: +0,0.3,74363
Mar 19 2016 01: +0,0.238,84708
Mar 20 2016 01: +0,0.205,82872
Mar 21 2016 01: +0,0.214,70355
Mar 22 2016 01: +0,0.24,60313
Mar 23 2016 01: +0,0.271,61887
Mar 24 2016 01: +0,0.333,74444
Mar 25 2016 01: +0,0.332,71567
Mar 26 2016 01: +0,0.259,71730
Mar 27 2016 01: +0,0.243,76586
Mar 28 2016 01: +0,0.234,70162
Mar 29 2016 01: +0,0.224,63819
Mar 30 2016 01: +0,0.223,68754
Mar 31 2016 01: +0,0.227,67943
Apr 01 2016 01: +0,0.233,73510
Apr 02 2016 01: +0,0.226,84824
Apr 03 2016 01: +0,0.158,73276
Apr 04 2016 01: +0,0.144,60296
Apr 05 2016 01: +0,0.17,64860
Apr 06 2016 01: +0,0.194,65388
Apr 07 2016 01: +0,0.2,65736
Apr 08 2016 01: +0,0.218,68060
Apr 09 2016 01: +0,0.212,78362
Apr 10 2016 01: +0,0.187,78505
Apr 11 2016 01: +0,0.176,60387
Apr 12 2016 01: +0,0.165,54766
Apr 13 2016 01: +0,0.148,54961
Apr 14 2016 01: +0,0.14,55136
Apr 15 2016 01: +0,0.144,63130
Apr 16 2016 01: +0,0.144,69207
Apr 17 2016 01: +0,0.13,65406
Apr 18 2016 01: +0,0.123,55813
Apr 19 2016 01: +0,0.117,52790
Apr 20 2016 01: +0,0.114,53705
Apr 21 2016 01: +0,0.116,53161
Apr 22 2016 01: +0,0.117,60716
Apr 23 2016 01: +0,0.117,67027
Apr 24 2016 01: +0,0.111,66871
Apr 25 2016 01: +0,0.11,56907
Apr 26 2016 01: +0,0.121,56543
Apr 27 2016 01: +0,0.128,55771
Apr 28 2016 01: +0,0.102,57856
Apr 29 2016 01: +0,0.082,54188
Apr 30 2016 01: +0,0.081,58698
May 01 2016 01: +0,0.073,54456
May 02 2016 01: +0,0.067,45378
May 03 2016 01: +0,0.064,41670
May 04 2016 01: +0,0.064,46128
May 05 2016 01: +0,0.06,41008
May 06 2016 01: +0,0.059,41819
May 07 2016 01: +0,0.056,46801
May 08 2016 01: +0,0.054,44460
May 09 2016 01: +0,0.054,38662
May 10 2016 01: +0,0.054,40955
May 11 2016 01: +0,0.054,43168
May 12 2016 01: +0,0.052,41926
May 13 2016 01: +0,0.052,46669
May 14 2016 01: +0,0.051,56396
May 15 2016 01: +0,0.05,45963
May 16 2016 01: +0,0.045,40192
May 17 2016 01: +0,0.045,41607
May 18 2016 01: +0,0.042,40868
May 19 2016 01: +0,0.047,39389
May 20 2016 01: +0,0.045,42638
May 21 2016 01: +0,0.042,48839
May 22 2016 01: +0,0.038,46391
May 23 2016 01: +0,0.04,38122
May 24 2016 01: +0,0.04,38360
May 25 2016 01: +0,0.04,38211
May 26 2016 01: +0,0.04,37590
May 27 2016 01: +0,0.041,41685
May 28 2016 01: +0,0.038,47392
May 29 2016 01: +0,0.041,43530
May 30 2016 01: +0,0.038,37336
May 31 2016 01: +0,0.042,38837
Jun 01 2016 01: +0,0.039,40449
Jun 02 2016 01: +0,0.035,44484
Jun 03 2016 01: +0,0.036,45335
Jun 04 2016 01: +0,0.043,50608
Jun 05 2016 01: +0,0.045,43879
Jun 06 2016 01: +0,0.043,40776
Jun 07 2016 01: +0,0.035,32644
Jun 08 2016 01: +0,0.034,39746
Jun 09 2016 01: +0,0.035,36069
Jun 10 2016 01: +0,0.039,38399
Jun 11 2016 01: +0,0.034,44938
Jun 12 2016 01: +0,0.035,41627
Jun 13 2016 01: +0,0.034,36265
Jun 14 2016 01: +0,0.039,38033
Jun 15 2016 01: +0,0.035,41649
Jun 16 2016 01: +0,0.039,46773
Jun 17 2016 01: +0,0.034,46129
Jun 18 2016 01: +0,0.034,45642
Jun 19 2016 01: +0,0.035,44369
Jun 20 2016 01: +0,0.033,39736
Jun 21 2016 01: +0,0.034,35649
Jun 22 2016 01: +0,0.033,39537
Jun 23 2016 01: +0,0.031,40402
Jun 24 2016 01: +0,0.031,40698
Jun 25 2016 01: +0,0.03,39320
Jun 26 2016 01: +0,0.03,37914
Jun 27 2016 01: +0,0.03,35524
Jun 28 2016 01: +0,0.03,32278
Jun 29 2016 01: +0,0.03,47817
Jun 30 2016 01: +0,0.03,33442
Jul 01 2016 01: +0,0.03,32090
Jul 02 2016 01: +0,0.03,32956
Jul 03 2016 01: +0,0.03,30963
Jul 04 2016 01: +0,0.03,32046
Jul 05 2016 01: +0,0.03,30905
Jul 06 2016 01: +0,0.03,32182
Jul 07 2016 01: +0,0.03,28579
Jul 08 2016 01: +0,0.03,29476
Jul 09 2016 01: +0,0.03,31148
Jul 10 2016 01: +0,0.03,37232
Jul 11 2016 01: +0,0.03,26322
Jul 12 2016 01: +0,0.03,28667
Jul 13 2016 01: +0,0.03,25125
Jul 14 2016 01: +0,0.03,29626
Jul 15 2016 01: +0,0.03,29193
Jul 16 2016 01: +0,0.03,39746
Jul 17 2016 01: +0,0.03,28262
Jul 18 2016 01: +0,0.03,29318
Jul 19 2016 01: +0,0.03,26916
Jul 20 2016 01: +0,0.03,24302
Jul 21 2016 01: +0,0.03,20730
Jul 22 2016 01: +0,0.03,27354
Jul 23 2016 01: +0,0.03,24802
Jul 24 2016 01: +0,0.03,23014
Jul 25 2016 01: +0,0.03,24108
Jul 26 2016 01: +0,0.03,22605
Jul 27 2016 01: +0,0.03,30104
Jul 28 2016 01: +0,0.03,34053
Jul 29 2016 01: +0,0.03,28284
Jul 30 2016 01: +0,0.03,29450
Jul 31 2016 01: +0,0.03,30425
Aug 01 2016 01: +0,0.03,26226
Aug 02 2016 01: +0,0.03,26955
Aug 03 2016 01: +0,0.03,28400
Aug 04 2016 01: +0,0.03,24395
Aug 05 2016 01: +0,0.03,22309
Aug 06 2016 01: +0,0.03,26076
Aug 07 2016 01: +0,0.03,23568
Aug 08 2016 01: +0,0.03,22261
Aug 09 2016 01: +0,0.03,23456
Aug 10 2016 01: +0,0.03,23309
Aug 11 2016 01: +0,0.03,22619
Aug 12 2016 01: +0,0.03,20286
Aug 13 2016 01: +0,0.03,22399
Aug 14 2016 01: +0,0.03,23140
Aug 15 2016 01: +0,0.03,22506
Aug 16 2016 01: +0,0.03,26075
Aug 17 2016 01: +0,0.03,22821
Aug 18 2016 01: +0,0.03,20655
Aug 19 2016 01: +0,0.03,27100
Aug 20 2016 01: +0,0.03,27591
Aug 21 2016 01: +0,0.03,28164
Aug 22 2016 01: +0,0.03,29720
Aug 23 2016 01: +0,0.03,25046
Aug 24 2016 01: +0,0.03,24818
Aug 25 2016 01: +0,0.03,26661
Aug 26 2016 01: +0,0.03,24671
