Date,Price,Quatity Sold
Mar 31 2020 01: +0,19.98,204
Apr 01 2020 01: +0,8.811,72019
Apr 02 2020 01: +0,5.493,61762
Apr 03 2020 01: +0,4.772,57591
Apr 04 2020 01: +0,4.165,61528
Apr 05 2020 01: +0,3.559,61834
Apr 06 2020 01: +0,2.888,62425
Apr 07 2020 01: +0,2.54,61106
Apr 08 2020 01: +0,2.501,61126
Apr 09 2020 01: +0,2.486,63773
Apr 10 2020 01: +0,2.51,63804
Apr 11 2020 01: +0,2.309,65385
Apr 12 2020 01: +0,2.173,66367
Apr 13 2020 01: +0,1.909,63352
Apr 14 2020 01: +0,1.699,66532
Apr 15 2020 01: +0,1.845,67998
Apr 16 2020 01: +0,1.874,63755
Apr 17 2020 01: +0,1.732,72474
Apr 18 2020 01: +0,1.706,68039
Apr 19 2020 01: +0,1.517,67624
Apr 20 2020 01: +0,1.354,66208
Apr 21 2020 01: +0,1.157,72584
Apr 22 2020 01: +0,0.986,79282
Apr 23 2020 01: +0,0.978,78500
Apr 24 2020 01: +0,1.011,79183
Apr 25 2020 01: +0,1.031,79398
Apr 26 2020 01: +0,0.996,74824
Apr 27 2020 01: +0,0.923,73264
Apr 28 2020 01: +0,0.877,72354
Apr 29 2020 01: +0,0.893,77040
Apr 30 2020 01: +0,0.946,81024
May 01 2020 01: +0,0.981,76129
May 02 2020 01: +0,0.965,71426
May 03 2020 01: +0,0.954,68777
May 04 2020 01: +0,0.871,67888
May 05 2020 01: +0,0.843,70063
May 06 2020 01: +0,0.84,69644
May 07 2020 01: +0,0.791,65075
May 08 2020 01: +0,0.771,72010
May 09 2020 01: +0,0.804,67472
May 10 2020 01: +0,0.775,64690
May 11 2020 01: +0,0.742,64023
May 12 2020 01: +0,0.689,66067
May 13 2020 01: +0,0.653,63278
May 14 2020 01: +0,0.626,66161
May 15 2020 01: +0,0.644,69510
May 16 2020 01: +0,0.672,61256
May 17 2020 01: +0,0.635,59531
May 18 2020 01: +0,0.598,57292
May 19 2020 01: +0,0.542,60150
May 20 2020 01: +0,0.549,63756
May 21 2020 01: +0,0.555,61395
May 22 2020 01: +0,0.552,64922
May 23 2020 01: +0,0.562,62605
May 24 2020 01: +0,0.538,61952
May 25 2020 01: +0,0.509,55541
May 26 2020 01: +0,0.486,57945
May 27 2020 01: +0,0.453,61646
May 28 2020 01: +0,0.459,67238
May 29 2020 01: +0,0.475,73878
May 30 2020 01: +0,0.51,66980
May 31 2020 01: +0,0.509,61954
Jun 01 2020 01: +0,0.472,60291
Jun 02 2020 01: +0,0.463,56127
Jun 03 2020 01: +0,0.471,58926
Jun 04 2020 01: +0,0.466,56226
Jun 05 2020 01: +0,0.464,59246
Jun 06 2020 01: +0,0.478,58733
Jun 07 2020 01: +0,0.472,54912
Jun 08 2020 01: +0,0.443,52925
Jun 09 2020 01: +0,0.429,54442
Jun 10 2020 01: +0,0.434,56149
Jun 11 2020 01: +0,0.433,56399
Jun 12 2020 01: +0,0.442,55836
Jun 13 2020 01: +0,0.438,52437
Jun 14 2020 01: +0,0.422,54467
Jun 15 2020 01: +0,0.381,52306
Jun 16 2020 01: +0,0.36,52881
Jun 17 2020 01: +0,0.345,53317
Jun 18 2020 01: +0,0.342,57414
Jun 19 2020 01: +0,0.366,56311
Jun 20 2020 01: +0,0.385,57007
Jun 21 2020 01: +0,0.381,51821
Jun 22 2020 01: +0,0.367,53954
Jun 23 2020 01: +0,0.368,51437
Jun 24 2020 01: +0,0.367,51027
Jun 25 2020 01: +0,0.36,52671
Jun 26 2020 01: +0,0.327,62046
Jun 27 2020 01: +0,0.339,56075
Jun 28 2020 01: +0,0.329,52020
Jun 29 2020 01: +0,0.321,57503
Jun 30 2020 01: +0,0.309,57934
Jul 01 2020 01: +0,0.329,55197
Jul 02 2020 01: +0,0.328,55030
Jul 03 2020 01: +0,0.332,55151
Jul 04 2020 01: +0,0.331,52088
Jul 05 2020 01: +0,0.313,49800
Jul 06 2020 01: +0,0.298,49104
Jul 07 2020 01: +0,0.288,49622
Jul 08 2020 01: +0,0.269,50662
Jul 09 2020 01: +0,0.278,50934
Jul 10 2020 01: +0,0.298,50394
Jul 11 2020 01: +0,0.298,47992
Jul 12 2020 01: +0,0.292,47268
Jul 13 2020 01: +0,0.283,47894
Jul 14 2020 01: +0,0.282,50224
Jul 15 2020 01: +0,0.287,48482
Jul 16 2020 01: +0,0.283,49524
Jul 17 2020 01: +0,0.294,51051
Jul 18 2020 01: +0,0.294,50409
Jul 19 2020 01: +0,0.295,50090
Jul 20 2020 01: +0,0.292,49086
Jul 21 2020 01: +0,0.285,48568
Jul 22 2020 01: +0,0.284,49165
Jul 23 2020 01: +0,0.284,50292
Jul 24 2020 01: +0,0.285,50422
Jul 25 2020 01: +0,0.288,49629
Jul 26 2020 01: +0,0.291,52125
Jul 27 2020 01: +0,0.292,49730
Jul 28 2020 01: +0,0.291,51756
Jul 29 2020 01: +0,0.28,47514
Jul 30 2020 01: +0,0.276,47752
Jul 31 2020 01: +0,0.281,50932
Aug 01 2020 01: +0,0.283,48867
Aug 02 2020 01: +0,0.275,49976
Aug 03 2020 01: +0,0.269,50224
Aug 04 2020 01: +0,0.258,48991
Aug 05 2020 01: +0,0.247,46767
Aug 06 2020 01: +0,0.25,47540
Aug 07 2020 01: +0,0.218,65918
Aug 08 2020 01: +0,0.203,58327
Aug 09 2020 01: +0,0.189,58726
Aug 10 2020 01: +0,0.176,55070
Aug 11 2020 01: +0,0.153,51188
Aug 12 2020 01: +0,0.135,48814
Aug 13 2020 01: +0,0.133,53181
Aug 14 2020 01: +0,0.162,58046
Aug 15 2020 01: +0,0.176,54346
Aug 16 2020 01: +0,0.167,51244
Aug 17 2020 01: +0,0.148,46293
Aug 18 2020 01: +0,0.133,48903
Aug 19 2020 01: +0,0.128,48348
Aug 20 2020 01: +0,0.121,49832
Aug 21 2020 01: +0,0.122,52301
Aug 22 2020 01: +0,0.125,50242
Aug 23 2020 01: +0,0.121,49731
Aug 24 2020 01: +0,0.112,49147
Aug 25 2020 01: +0,0.106,52749
Aug 26 2020 01: +0,0.1,48078
Aug 27 2020 01: +0,0.097,51573
Aug 28 2020 01: +0,0.101,49606
Aug 29 2020 01: +0,0.103,51278
Aug 30 2020 01: +0,0.101,51162
Aug 31 2020 01: +0,0.094,49094
Sep 01 2020 01: +0,0.089,42715
Sep 02 2020 01: +0,0.084,42643
Sep 03 2020 01: +0,0.079,42908
Sep 04 2020 01: +0,0.078,49853
Sep 05 2020 01: +0,0.072,47664
Sep 06 2020 01: +0,0.064,47164
Sep 07 2020 01: +0,0.06,41083
Sep 08 2020 01: +0,0.052,42049
Sep 09 2020 01: +0,0.049,43199
Sep 10 2020 01: +0,0.053,41551
Sep 11 2020 01: +0,0.052,46334
Sep 12 2020 01: +0,0.054,52341
Sep 13 2020 01: +0,0.053,48774
Sep 14 2020 01: +0,0.049,46053
Sep 15 2020 01: +0,0.052,45942
Sep 16 2020 01: +0,0.05,44447
Sep 17 2020 01: +0,0.048,44061
Sep 18 2020 01: +0,0.047,50966
Sep 19 2020 01: +0,0.046,52124
Sep 20 2020 01: +0,0.042,47285
Sep 21 2020 01: +0,0.042,42287
Sep 22 2020 01: +0,0.039,39849
Sep 23 2020 01: +0,0.037,40136
