Date,Price,Quatity Sold
Mar 13 2019 01: +0,22.58,95
Mar 14 2019 01: +0,9.714,43221
Mar 15 2019 01: +0,6.707,44595
Mar 16 2019 01: +0,5.085,55248
Mar 17 2019 01: +0,5.214,50975
Mar 18 2019 01: +0,5.19,36994
Mar 19 2019 01: +0,4.716,36386
Mar 20 2019 01: +0,4.465,34771
Mar 21 2019 01: +0,3.92,37384
Mar 22 2019 01: +0,3.661,43749
Mar 23 2019 01: +0,3.248,51159
Mar 24 2019 01: +0,2.878,51891
Mar 25 2019 01: +0,2.784,42856
Mar 26 2019 01: +0,2.735,38916
Mar 27 2019 01: +0,2.726,38453
Mar 28 2019 01: +0,2.636,37475
Mar 29 2019 01: +0,2.685,45665
Mar 30 2019 01: +0,2.468,46256
Mar 31 2019 01: +0,2.104,51076
Apr 01 2019 01: +0,2.081,41771
Apr 02 2019 01: +0,2.083,35630
Apr 03 2019 01: +0,2.049,37908
Apr 04 2019 01: +0,2.055,38385
Apr 05 2019 01: +0,2.033,43208
Apr 06 2019 01: +0,1.982,46408
Apr 07 2019 01: +0,1.822,50474
Apr 08 2019 01: +0,1.74,41628
Apr 09 2019 01: +0,1.726,41380
Apr 10 2019 01: +0,1.753,39261
Apr 11 2019 01: +0,1.735,37646
Apr 12 2019 01: +0,1.696,44591
Apr 13 2019 01: +0,1.585,46408
Apr 14 2019 01: +0,1.392,48662
Apr 15 2019 01: +0,1.341,43503
Apr 16 2019 01: +0,1.313,40628
Apr 17 2019 01: +0,1.356,40787
Apr 18 2019 01: +0,1.373,40506
Apr 19 2019 01: +0,1.343,42791
Apr 20 2019 01: +0,1.281,48408
Apr 21 2019 01: +0,1.166,51743
Apr 22 2019 01: +0,1.101,47898
Apr 23 2019 01: +0,1.038,47915
Apr 24 2019 01: +0,0.988,44562
Apr 25 2019 01: +0,1.019,47539
Apr 26 2019 01: +0,1.026,50608
Apr 27 2019 01: +0,1.005,50211
Apr 28 2019 01: +0,0.909,49907
Apr 29 2019 01: +0,0.843,44547
Apr 30 2019 01: +0,0.896,50574
May 01 2019 01: +0,0.914,50938
May 02 2019 01: +0,0.882,45762
May 03 2019 01: +0,0.898,47975
May 04 2019 01: +0,0.889,49766
May 05 2019 01: +0,0.807,49449
May 06 2019 01: +0,0.796,41417
May 07 2019 01: +0,0.819,43820
May 08 2019 01: +0,0.832,40136
May 09 2019 01: +0,0.795,39641
May 10 2019 01: +0,0.808,45841
May 11 2019 01: +0,0.805,47692
May 12 2019 01: +0,0.765,45133
May 13 2019 01: +0,0.739,38186
May 14 2019 01: +0,0.76,40749
May 15 2019 01: +0,0.793,41873
May 16 2019 01: +0,0.807,38301
May 17 2019 01: +0,0.809,44850
May 18 2019 01: +0,0.738,48218
May 19 2019 01: +0,0.687,50110
May 20 2019 01: +0,0.713,42477
May 21 2019 01: +0,0.734,40521
May 22 2019 01: +0,0.736,40195
May 23 2019 01: +0,0.726,39024
May 24 2019 01: +0,0.727,46637
May 25 2019 01: +0,0.716,49304
May 26 2019 01: +0,0.707,48727
May 27 2019 01: +0,0.72,42346
May 28 2019 01: +0,0.711,40598
May 29 2019 01: +0,0.718,43158
May 30 2019 01: +0,0.74,44981
May 31 2019 01: +0,0.738,45025
