Date,Price,Quatity Sold
Dec 09 2015 01: +0,8.262,132808
Dec 10 2015 01: +0,4.011,130328
Dec 11 2015 01: +0,2.788,126642
Dec 12 2015 01: +0,1.707,145214
Dec 13 2015 01: +0,1.181,142921
Dec 14 2015 01: +0,1.127,105522
Dec 15 2015 01: +0,0.975,99286
Dec 16 2015 01: +0,0.842,90332
Dec 17 2015 01: +0,0.664,95675
Dec 18 2015 01: +0,0.56,103558
Dec 19 2015 01: +0,0.445,111600
Dec 20 2015 01: +0,0.342,117279
Dec 21 2015 01: +0,0.33,99142
Dec 22 2015 01: +0,0.321,97851
Dec 23 2015 01: +0,0.314,100348
Dec 24 2015 01: +0,0.324,100473
Dec 25 2015 01: +0,0.444,107868
Dec 26 2015 01: +0,0.446,107189
Dec 27 2015 01: +0,0.267,106444
Dec 28 2015 01: +0,0.234,105383
Dec 29 2015 01: +0,0.21,96093
Dec 30 2015 01: +0,0.194,95931
Dec 31 2015 01: +0,0.182,86298
Jan 01 2016 01: +0,0.178,93122
Jan 02 2016 01: +0,0.142,82989
Jan 03 2016 01: +0,0.092,72980
Jan 04 2016 01: +0,0.081,71960
Jan 05 2016 01: +0,0.081,69291
Jan 06 2016 01: +0,0.081,70054
Jan 07 2016 01: +0,0.075,65094
Jan 08 2016 01: +0,0.074,74173
Jan 09 2016 01: +0,0.074,82783
Jan 10 2016 01: +0,0.068,67088
Jan 11 2016 01: +0,0.063,54678
Jan 12 2016 01: +0,0.053,59375
Jan 13 2016 01: +0,0.057,52762
Jan 14 2016 01: +0,0.054,61929
Jan 15 2016 01: +0,0.052,72997
Jan 16 2016 01: +0,0.049,82764
Jan 17 2016 01: +0,0.042,74647
Jan 18 2016 01: +0,0.042,67645
Jan 19 2016 01: +0,0.039,61119
Jan 20 2016 01: +0,0.038,58102
Jan 21 2016 01: +0,0.037,63197
Jan 22 2016 01: +0,0.039,59435
Jan 23 2016 01: +0,0.04,85076
Jan 24 2016 01: +0,0.04,64358
Jan 25 2016 01: +0,0.04,62451
Jan 26 2016 01: +0,0.039,63332
Jan 27 2016 01: +0,0.04,62566
Jan 28 2016 01: +0,0.039,59674
Jan 29 2016 01: +0,0.04,68914
Jan 30 2016 01: +0,0.043,76198
Jan 31 2016 01: +0,0.039,69652
Feb 01 2016 01: +0,0.037,64781
Feb 02 2016 01: +0,0.038,58836
Feb 03 2016 01: +0,0.037,60152
Feb 04 2016 01: +0,0.036,63207
Feb 05 2016 01: +0,0.036,68134
Feb 06 2016 01: +0,0.032,83291
Feb 07 2016 01: +0,0.035,60725
Feb 08 2016 01: +0,0.035,49227
Feb 09 2016 01: +0,0.035,46552
Feb 10 2016 01: +0,0.035,53760
Feb 11 2016 01: +0,0.036,50989
