Date,Price,Quatity Sold
Nov 18 2019 01: +0,4.304,2055
Nov 19 2019 01: +0,1.473,263089
Nov 20 2019 01: +0,1.462,117090
Nov 21 2019 01: +0,1.53,78466
Nov 22 2019 01: +0,1.502,69147
Nov 23 2019 01: +0,1.501,60552
Nov 24 2019 01: +0,1.542,49755
Nov 25 2019 01: +0,1.732,35983
Nov 26 2019 01: +0,1.598,53929
Nov 27 2019 01: +0,0.928,131507
Nov 28 2019 01: +0,0.983,69923
Nov 29 2019 01: +0,1.176,59022
Nov 30 2019 01: +0,1.257,46878
Dec 01 2019 01: +0,1.18,39549
Dec 02 2019 01: +0,1.115,32320
Dec 03 2019 01: +0,1.056,33805
Dec 04 2019 01: +0,1.07,35784
Dec 05 2019 01: +0,1.016,34671
Dec 06 2019 01: +0,1.091,31499
Dec 07 2019 01: +0,1.074,33439
Dec 08 2019 01: +0,1.063,29101
Dec 09 2019 01: +0,1.044,24105
Dec 10 2019 01: +0,0.996,24898
Dec 11 2019 01: +0,0.957,28134
Dec 12 2019 01: +0,0.994,24498
Dec 13 2019 01: +0,1.073,26750
Dec 14 2019 01: +0,1.136,25654
Dec 15 2019 01: +0,1.115,23704
Dec 16 2019 01: +0,1.091,20636
Dec 17 2019 01: +0,1.002,31543
Dec 18 2019 01: +0,0.659,69863
Dec 19 2019 01: +0,0.666,43522
Dec 20 2019 01: +0,0.695,39292
Dec 21 2019 01: +0,0.758,36203
Dec 22 2019 01: +0,0.763,32157
Dec 23 2019 01: +0,0.811,30738
Dec 24 2019 01: +0,0.847,32315
Dec 25 2019 01: +0,0.755,69971
Dec 26 2019 01: +0,0.777,47117
Dec 27 2019 01: +0,0.746,41551
Dec 28 2019 01: +0,0.76,37408
Dec 29 2019 01: +0,0.787,32254
Dec 30 2019 01: +0,0.844,33683
Dec 31 2019 01: +0,0.905,28889
Jan 01 2020 01: +0,0.876,36262
Jan 02 2020 01: +0,0.849,34176
Jan 03 2020 01: +0,0.873,32577
Jan 04 2020 01: +0,0.92,29421
Jan 05 2020 01: +0,0.916,26532
Jan 06 2020 01: +0,0.908,22892
Jan 07 2020 01: +0,0.887,22780
Jan 08 2020 01: +0,0.837,28540
Jan 09 2020 01: +0,0.864,25831
Jan 10 2020 01: +0,0.863,27389
Jan 11 2020 01: +0,0.85,29212
Jan 12 2020 01: +0,0.852,26162
Jan 13 2020 01: +0,0.857,21894
Jan 14 2020 01: +0,0.838,27713
Jan 15 2020 01: +0,0.689,71627
Jan 16 2020 01: +0,0.687,42397
Jan 17 2020 01: +0,0.72,37036
Jan 18 2020 01: +0,0.745,35200
Jan 19 2020 01: +0,0.761,32717
Jan 20 2020 01: +0,0.75,26007
Jan 21 2020 01: +0,0.731,30013
Jan 22 2020 01: +0,0.664,63342
Jan 23 2020 01: +0,0.667,45083
Jan 24 2020 01: +0,0.685,43953
Jan 25 2020 01: +0,0.695,41719
Jan 26 2020 01: +0,0.693,35149
Jan 27 2020 01: +0,0.689,27683
Jan 28 2020 01: +0,0.698,28214
Jan 29 2020 01: +0,0.713,34565
Jan 30 2020 01: +0,0.734,26552
Jan 31 2020 01: +0,0.772,33772
Feb 01 2020 01: +0,0.8,36756
Feb 02 2020 01: +0,0.802,31830
Feb 03 2020 01: +0,0.823,28035
Feb 04 2020 01: +0,0.867,32733
Feb 05 2020 01: +0,0.869,33192
Feb 06 2020 01: +0,0.869,30233
Feb 07 2020 01: +0,0.745,64651
Feb 08 2020 01: +0,0.728,61714
Feb 09 2020 01: +0,0.702,54015
Feb 10 2020 01: +0,0.686,43302
Feb 11 2020 01: +0,0.672,45464
Feb 12 2020 01: +0,0.663,84103
Feb 13 2020 01: +0,0.701,61945
Feb 14 2020 01: +0,0.75,55876
Feb 15 2020 01: +0,0.755,58739
Feb 16 2020 01: +0,0.718,52680
Feb 17 2020 01: +0,0.708,42503
Feb 18 2020 01: +0,0.691,39526
Feb 19 2020 01: +0,0.683,57605
Feb 20 2020 01: +0,0.674,46761
Feb 21 2020 01: +0,0.683,46852
Feb 22 2020 01: +0,0.68,48153
Feb 23 2020 01: +0,0.675,48898
Feb 24 2020 01: +0,0.684,46030
Feb 25 2020 01: +0,0.715,71009
Feb 26 2020 01: +0,0.775,135620
Feb 27 2020 01: +0,0.941,123736
Feb 28 2020 01: +0,1.157,96230
Feb 29 2020 01: +0,1.104,78891
Mar 01 2020 01: +0,0.984,70722
Mar 02 2020 01: +0,0.944,54619
Mar 03 2020 01: +0,0.894,57198
Mar 04 2020 01: +0,0.897,81919
Mar 05 2020 01: +0,0.82,70552
Mar 06 2020 01: +0,0.847,63850
Mar 07 2020 01: +0,0.857,66423
Mar 08 2020 01: +0,0.843,61567
Mar 09 2020 01: +0,0.861,65784
Mar 10 2020 01: +0,0.902,49467
Mar 11 2020 01: +0,0.872,46697
Mar 12 2020 01: +0,0.861,48276
Mar 13 2020 01: +0,0.823,50848
Mar 14 2020 01: +0,0.788,57887
Mar 15 2020 01: +0,0.73,60899
Mar 16 2020 01: +0,0.687,53186
Mar 17 2020 01: +0,0.69,49678
Mar 18 2020 01: +0,0.708,47635
Mar 19 2020 01: +0,0.719,44914
