Date,Price,Quatity Sold
May 03 2021 01: +0,17.552,3343
May 04 2021 01: +0,10.159,88924
May 05 2021 01: +0,7.097,66458
May 06 2021 01: +0,6.023,58019
May 07 2021 01: +0,5.092,60564
May 08 2021 01: +0,4.641,61851
May 09 2021 01: +0,4.03,61051
May 10 2021 01: +0,3.651,57838
May 11 2021 01: +0,3.686,58777
May 12 2021 01: +0,3.884,62317
May 13 2021 01: +0,3.428,59798
May 14 2021 01: +0,3.206,62160
May 15 2021 01: +0,3.085,63244
May 16 2021 01: +0,2.748,63257
May 17 2021 01: +0,2.657,55095
May 18 2021 01: +0,2.528,55596
May 19 2021 01: +0,2.398,57365
May 20 2021 01: +0,2.311,61579
May 21 2021 01: +0,2.312,63127
May 22 2021 01: +0,2.261,64963
May 23 2021 01: +0,2.07,65533
May 24 2021 01: +0,1.977,61958
May 25 2021 01: +0,1.924,58595
May 26 2021 01: +0,1.917,58804
May 27 2021 01: +0,1.935,59521
May 28 2021 01: +0,1.961,62212
May 29 2021 01: +0,1.922,62951
May 30 2021 01: +0,1.819,63233
May 31 2021 01: +0,1.669,61688
Jun 01 2021 01: +0,1.641,59328
Jun 02 2021 01: +0,1.594,59611
Jun 03 2021 01: +0,1.588,58723
Jun 04 2021 01: +0,1.456,65310
Jun 05 2021 01: +0,1.454,68363
Jun 06 2021 01: +0,1.474,64512
Jun 07 2021 01: +0,1.415,61961
Jun 08 2021 01: +0,1.407,58421
Jun 09 2021 01: +0,1.45,59503
Jun 10 2021 01: +0,1.442,58742
Jun 11 2021 01: +0,1.466,58895
Jun 12 2021 01: +0,1.493,59869
Jun 13 2021 01: +0,1.424,61340
Jun 14 2021 01: +0,1.382,58981
Jun 15 2021 01: +0,1.348,59344
Jun 16 2021 01: +0,1.319,58393
Jun 17 2021 01: +0,1.314,58218
Jun 18 2021 01: +0,1.33,58539
Jun 19 2021 01: +0,1.314,58338
Jun 20 2021 01: +0,1.246,60309
Jun 21 2021 01: +0,1.094,66902
Jun 22 2021 01: +0,0.964,67594
Jun 23 2021 01: +0,0.917,68105
Jun 24 2021 01: +0,0.879,68599
Jun 25 2021 01: +0,0.824,70004
Jun 26 2021 01: +0,0.881,69789
Jun 27 2021 01: +0,0.907,69194
Jun 28 2021 01: +0,0.883,67494
Jun 29 2021 01: +0,0.905,65412
Jun 30 2021 01: +0,0.909,63481
Jul 01 2021 01: +0,0.903,61651
Jul 02 2021 01: +0,0.956,64575
Jul 03 2021 01: +0,0.932,61031
Jul 04 2021 01: +0,0.935,62481
Jul 05 2021 01: +0,0.92,63768
Jul 06 2021 01: +0,0.914,57423
Jul 07 2021 01: +0,0.878,59320
Jul 08 2021 01: +0,0.837,61292
Jul 09 2021 01: +0,0.831,57598
Jul 10 2021 01: +0,0.834,55128
Jul 11 2021 01: +0,0.814,53929
Jul 12 2021 01: +0,0.771,58326
Jul 13 2021 01: +0,0.748,55021
Jul 14 2021 01: +0,0.713,58900
Jul 15 2021 01: +0,0.687,58789
Jul 16 2021 01: +0,0.671,58889
Jul 17 2021 01: +0,0.71,58960
Jul 18 2021 01: +0,0.717,60777
Jul 19 2021 01: +0,0.727,60560
Jul 20 2021 01: +0,0.748,59668
Jul 21 2021 01: +0,0.746,58243
Jul 22 2021 01: +0,0.75,55779
Jul 23 2021 01: +0,0.773,58027
Jul 24 2021 01: +0,0.791,59547
Jul 25 2021 01: +0,0.796,60518
Jul 26 2021 01: +0,0.786,54384
Jul 27 2021 01: +0,0.814,33758
Jul 28 2021 01: +0,0.796,57276
Jul 29 2021 01: +0,0.738,61263
Jul 30 2021 01: +0,0.721,63420
Jul 31 2021 01: +0,0.769,59001
Aug 01 2021 01: +0,0.774,61887
Aug 02 2021 01: +0,0.748,60006
Aug 03 2021 01: +0,0.752,58560
Aug 04 2021 01: +0,0.747,53791
Aug 05 2021 01: +0,0.765,44616
Aug 06 2021 01: +0,0.728,59382
Aug 07 2021 01: +0,0.729,58982
Aug 08 2021 01: +0,0.714,55399
Aug 09 2021 01: +0,0.691,60790
Aug 10 2021 01: +0,0.684,57696
Aug 11 2021 01: +0,0.68,57479
Aug 12 2021 01: +0,0.673,51899
Aug 13 2021 01: +0,0.658,58405
Aug 14 2021 01: +0,0.647,42254
Aug 14 2021 20: +0,0.635,3376
Aug 14 2021 21: +0,0.63,3057
Aug 14 2021 22: +0,0.626,3016
Aug 14 2021 23: +0,0.627,2798
Aug 15 2021 00: +0,0.646,3205
Aug 15 2021 01: +0,0.637,1431
Aug 15 2021 02: +0,0.647,1515
Aug 15 2021 03: +0,0.649,1675
Aug 15 2021 04: +0,0.648,1673
Aug 15 2021 05: +0,0.65,1405
Aug 15 2021 06: +0,0.65,1621
Aug 15 2021 07: +0,0.647,1413
Aug 15 2021 08: +0,0.64,1473
Aug 15 2021 09: +0,0.638,2079
Aug 15 2021 10: +0,0.63,2077
Aug 15 2021 11: +0,0.635,2344
Aug 15 2021 12: +0,0.624,2290
Aug 15 2021 13: +0,0.612,2724
Aug 15 2021 14: +0,0.635,3275
Aug 15 2021 15: +0,0.63,3512
Aug 15 2021 16: +0,0.624,2536
Aug 15 2021 17: +0,0.612,3033
Aug 15 2021 18: +0,0.612,3173
Aug 15 2021 19: +0,0.612,3216
Aug 15 2021 20: +0,0.61,3581
Aug 15 2021 21: +0,0.61,3590
Aug 15 2021 22: +0,0.6,3098
Aug 15 2021 23: +0,0.6,2771
Aug 16 2021 00: +0,0.6,2026
Aug 16 2021 01: +0,0.6,1507
Aug 16 2021 02: +0,0.604,1499
Aug 16 2021 03: +0,0.61,1387
Aug 16 2021 04: +0,0.61,1233
Aug 16 2021 05: +0,0.62,1881
Aug 16 2021 06: +0,0.614,1362
Aug 16 2021 07: +0,0.613,1915
Aug 16 2021 08: +0,0.606,1582
Aug 16 2021 09: +0,0.6,1938
Aug 16 2021 10: +0,0.596,2001
Aug 16 2021 11: +0,0.588,2102
Aug 16 2021 12: +0,0.588,2521
Aug 16 2021 13: +0,0.59,2546
Aug 16 2021 14: +0,0.59,2897
Aug 16 2021 15: +0,0.588,3001
Aug 16 2021 16: +0,0.6,3056
Aug 16 2021 17: +0,0.599,3337
Aug 16 2021 18: +0,0.596,3518
Aug 16 2021 19: +0,0.595,3800
Aug 16 2021 20: +0,0.59,3712
Aug 16 2021 21: +0,0.588,3600
Aug 16 2021 22: +0,0.585,2720
Aug 16 2021 23: +0,0.584,2257
Aug 17 2021 00: +0,0.58,1930
Aug 17 2021 01: +0,0.59,1896
Aug 17 2021 02: +0,0.58,1388
Aug 17 2021 03: +0,0.59,1766
Aug 17 2021 04: +0,0.59,1348
Aug 17 2021 05: +0,0.59,1321
Aug 17 2021 06: +0,0.588,1634
Aug 17 2021 07: +0,0.577,2645
Aug 17 2021 08: +0,0.585,1637
Aug 17 2021 09: +0,0.58,1843
Aug 17 2021 10: +0,0.578,2377
Aug 17 2021 11: +0,0.582,2689
Aug 17 2021 12: +0,0.572,2349
Aug 17 2021 13: +0,0.57,2759
Aug 17 2021 14: +0,0.581,2405
Aug 17 2021 15: +0,0.587,3875
Aug 17 2021 16: +0,0.582,3341
Aug 17 2021 17: +0,0.584,3640
Aug 17 2021 18: +0,0.577,3171
Aug 17 2021 19: +0,0.572,3416
Aug 17 2021 20: +0,0.567,3596
Aug 17 2021 21: +0,0.55,3414
Aug 17 2021 22: +0,0.551,2747
Aug 17 2021 23: +0,0.55,2217
Aug 18 2021 00: +0,0.57,2059
Aug 18 2021 01: +0,0.565,1275
Aug 18 2021 02: +0,0.567,1646
Aug 18 2021 03: +0,0.577,1601
Aug 18 2021 04: +0,0.58,1610
Aug 18 2021 05: +0,0.587,1436
Aug 18 2021 06: +0,0.61,1833
Aug 18 2021 07: +0,0.61,1726
Aug 18 2021 08: +0,0.61,2175
Aug 18 2021 09: +0,0.575,1517
Aug 18 2021 10: +0,0.571,1839
Aug 18 2021 11: +0,0.559,1686
Aug 18 2021 12: +0,0.566,2591
Aug 18 2021 13: +0,0.575,2937
Aug 18 2021 14: +0,0.57,2834
Aug 18 2021 15: +0,0.578,3345
Aug 18 2021 16: +0,0.57,2901
Aug 18 2021 17: +0,0.567,3080
Aug 18 2021 18: +0,0.563,3512
Aug 18 2021 19: +0,0.563,3027
Aug 18 2021 20: +0,0.557,3445
Aug 18 2021 21: +0,0.55,2825
Aug 18 2021 22: +0,0.55,3102
Aug 18 2021 23: +0,0.562,2261
Aug 19 2021 00: +0,0.55,1931
Aug 19 2021 01: +0,0.564,1819
Aug 19 2021 02: +0,0.576,2001
Aug 19 2021 03: +0,0.57,1597
Aug 19 2021 04: +0,0.578,1426
Aug 19 2021 05: +0,0.58,1335
Aug 19 2021 06: +0,0.582,1191
Aug 19 2021 07: +0,0.578,1387
Aug 19 2021 08: +0,0.564,1325
Aug 19 2021 09: +0,0.562,1834
Aug 19 2021 10: +0,0.557,2115
Aug 19 2021 11: +0,0.562,1896
Aug 19 2021 12: +0,0.57,2441
Aug 19 2021 13: +0,0.574,3115
Aug 19 2021 14: +0,0.574,3229
Aug 19 2021 15: +0,0.58,3625
Aug 19 2021 16: +0,0.569,3218
Aug 19 2021 17: +0,0.57,3457
Aug 19 2021 18: +0,0.564,3349
Aug 19 2021 19: +0,0.574,4279
Aug 19 2021 20: +0,0.562,3463
Aug 19 2021 21: +0,0.561,3509
Aug 19 2021 22: +0,0.561,4210
Aug 19 2021 23: +0,0.558,2540
Aug 20 2021 00: +0,0.561,2158
Aug 20 2021 01: +0,0.564,1685
Aug 20 2021 02: +0,0.57,1613
Aug 20 2021 03: +0,0.588,1687
Aug 20 2021 04: +0,0.588,1556
Aug 20 2021 05: +0,0.574,1414
Aug 20 2021 06: +0,0.586,1189
Aug 20 2021 07: +0,0.586,1357
Aug 20 2021 08: +0,0.59,1595
Aug 20 2021 09: +0,0.573,1554
Aug 20 2021 10: +0,0.57,2066
Aug 20 2021 11: +0,0.566,2090
Aug 20 2021 12: +0,0.561,2414
Aug 20 2021 13: +0,0.566,2988
Aug 20 2021 14: +0,0.561,2566
Aug 20 2021 15: +0,0.579,3209
Aug 20 2021 16: +0,0.577,2952
Aug 20 2021 17: +0,0.585,3508
Aug 20 2021 18: +0,0.573,3537
Aug 20 2021 19: +0,0.561,2934
Aug 20 2021 20: +0,0.57,3937
Aug 20 2021 21: +0,0.563,3566
Aug 20 2021 22: +0,0.569,3124
Aug 20 2021 23: +0,0.572,3019
Aug 21 2021 00: +0,0.564,2051
Aug 21 2021 01: +0,0.58,1891
Aug 21 2021 02: +0,0.6,1769
Aug 21 2021 03: +0,0.61,1718
Aug 21 2021 04: +0,0.63,2283
Aug 21 2021 05: +0,0.63,2317
Aug 21 2021 06: +0,0.62,1578
Aug 21 2021 07: +0,0.63,1863
Aug 21 2021 08: +0,0.62,1554
Aug 21 2021 09: +0,0.626,1994
Aug 21 2021 10: +0,0.61,1898
Aug 21 2021 11: +0,0.595,2055
Aug 21 2021 12: +0,0.595,2936
Aug 21 2021 13: +0,0.595,1815
Aug 21 2021 14: +0,0.59,2734
Aug 21 2021 15: +0,0.584,2695
Aug 21 2021 16: +0,0.58,2770
Aug 21 2021 17: +0,0.59,3272
Aug 21 2021 18: +0,0.59,3385
Aug 21 2021 19: +0,0.584,3148
Aug 21 2021 20: +0,0.58,3236
Aug 21 2021 21: +0,0.572,3113
Aug 21 2021 22: +0,0.572,2825
Aug 21 2021 23: +0,0.576,2913
Aug 22 2021 00: +0,0.572,2007
Aug 22 2021 01: +0,0.584,1991
Aug 22 2021 02: +0,0.62,2120
Aug 22 2021 03: +0,0.614,1553
Aug 22 2021 04: +0,0.619,1603
Aug 22 2021 05: +0,0.615,1400
Aug 22 2021 06: +0,0.61,1262
Aug 22 2021 07: +0,0.62,1807
Aug 22 2021 08: +0,0.615,1665
Aug 22 2021 09: +0,0.601,1570
Aug 22 2021 10: +0,0.588,1671
Aug 22 2021 11: +0,0.571,1881
Aug 22 2021 12: +0,0.56,2454
Aug 22 2021 13: +0,0.57,2660
Aug 22 2021 14: +0,0.561,2991
Aug 22 2021 15: +0,0.572,3224
