Date,Price,Quatity Sold
Feb 27 2014 01: +0,1.91,23
Feb 28 2014 01: +0,0.182,11892
Mar 01 2014 01: +0,0.041,14339
Mar 02 2014 01: +0,0.03,11909
Mar 03 2014 01: +0,0.03,9929
Mar 04 2014 01: +0,0.03,6203
Mar 05 2014 01: +0,0.03,6188
Mar 06 2014 01: +0,0.03,5141
Mar 07 2014 01: +0,0.03,3818
Mar 08 2014 01: +0,0.031,2956
Mar 09 2014 01: +0,0.03,2701
Mar 10 2014 01: +0,0.03,2560
Mar 11 2014 01: +0,0.03,2054
Mar 12 2014 01: +0,0.03,1755
Mar 13 2014 01: +0,0.032,1468
Mar 14 2014 01: +0,0.033,2308
Mar 15 2014 01: +0,0.034,3311
Mar 16 2014 01: +0,0.033,3041
Mar 17 2014 01: +0,0.03,2632
Mar 18 2014 01: +0,0.03,2751
Mar 19 2014 01: +0,0.03,3067
Mar 20 2014 01: +0,0.03,3591
Mar 21 2014 01: +0,0.03,2722
Mar 22 2014 01: +0,0.032,3244
Mar 23 2014 01: +0,0.03,2897
Mar 24 2014 01: +0,0.03,2485
Mar 25 2014 01: +0,0.03,1978
Mar 26 2014 01: +0,0.03,2440
Mar 27 2014 01: +0,0.032,2268
Mar 28 2014 01: +0,0.03,2492
Mar 29 2014 01: +0,0.03,3066
Mar 30 2014 01: +0,0.032,2942
Mar 31 2014 01: +0,0.031,2748
Apr 01 2014 01: +0,0.032,2513
Apr 02 2014 01: +0,0.03,2986
Apr 03 2014 01: +0,0.03,3164
Apr 04 2014 01: +0,0.03,3360
Apr 05 2014 01: +0,0.032,3602
Apr 06 2014 01: +0,0.03,3724
Apr 07 2014 01: +0,0.03,3153
Apr 08 2014 01: +0,0.03,3193
Apr 09 2014 01: +0,0.031,3010
Apr 10 2014 01: +0,0.031,3055
Apr 11 2014 01: +0,0.032,3409
Apr 12 2014 01: +0,0.033,3798
Apr 13 2014 01: +0,0.03,4721
Apr 14 2014 01: +0,0.032,3559
Apr 15 2014 01: +0,0.032,3256
Apr 16 2014 01: +0,0.03,4022
Apr 17 2014 01: +0,0.03,4126
Apr 18 2014 01: +0,0.03,4568
Apr 19 2014 01: +0,0.03,4511
Apr 20 2014 01: +0,0.03,5956
Apr 21 2014 01: +0,0.03,5146
Apr 22 2014 01: +0,0.031,3663
Apr 23 2014 01: +0,0.03,3836
Apr 24 2014 01: +0,0.03,3599
Apr 25 2014 01: +0,0.03,3865
Apr 26 2014 01: +0,0.03,4297
Apr 27 2014 01: +0,0.03,4025
Apr 28 2014 01: +0,0.03,3378
Apr 29 2014 01: +0,0.03,3744
Apr 30 2014 01: +0,0.031,3716
May 01 2014 01: +0,0.03,4822
May 02 2014 01: +0,0.03,2789
May 03 2014 01: +0,0.03,3040
May 04 2014 01: +0,0.03,3757
May 05 2014 01: +0,0.03,3823
May 06 2014 01: +0,0.03,3900
May 07 2014 01: +0,0.03,3529
May 08 2014 01: +0,0.03,4156
May 09 2014 01: +0,0.03,4931
May 10 2014 01: +0,0.03,3259
May 11 2014 01: +0,0.03,2518
May 12 2014 01: +0,0.03,1913
May 13 2014 01: +0,0.03,2172
May 14 2014 01: +0,0.03,2222
May 15 2014 01: +0,0.03,2664
May 16 2014 01: +0,0.03,2639
May 17 2014 01: +0,0.03,3772
May 18 2014 01: +0,0.03,3626
May 19 2014 01: +0,0.03,3839
May 20 2014 01: +0,0.03,3283
May 21 2014 01: +0,0.03,3698
May 22 2014 01: +0,0.03,3917
May 23 2014 01: +0,0.03,3076
May 24 2014 01: +0,0.03,3818
May 25 2014 01: +0,0.03,3703
May 26 2014 01: +0,0.03,3580
May 27 2014 01: +0,0.03,2473
May 28 2014 01: +0,0.03,3684
May 29 2014 01: +0,0.03,4603
May 30 2014 01: +0,0.03,2626
May 31 2014 01: +0,0.03,2289
Jun 01 2014 01: +0,0.03,2514
Jun 02 2014 01: +0,0.03,4177
Jun 03 2014 01: +0,0.03,3681
Jun 04 2014 01: +0,0.03,3610
Jun 05 2014 01: +0,0.03,3421
Jun 06 2014 01: +0,0.03,2923
Jun 07 2014 01: +0,0.03,3037
Jun 08 2014 01: +0,0.03,2712
Jun 09 2014 01: +0,0.03,2988
Jun 10 2014 01: +0,0.03,3724
Jun 11 2014 01: +0,0.03,3612
Jun 12 2014 01: +0,0.03,2927
Jun 13 2014 01: +0,0.03,4317
Jun 14 2014 01: +0,0.03,3328
Jun 15 2014 01: +0,0.03,3075
Jun 16 2014 01: +0,0.03,3750
Jun 17 2014 01: +0,0.03,4096
Jun 18 2014 01: +0,0.03,3400
Jun 19 2014 01: +0,0.03,3114
Jun 20 2014 01: +0,0.03,3186
Jun 21 2014 01: +0,0.03,3290
Jun 22 2014 01: +0,0.03,2860
Jun 23 2014 01: +0,0.03,2596
Jun 24 2014 01: +0,0.03,2691
Jun 25 2014 01: +0,0.03,2867
Jun 26 2014 01: +0,0.03,3169
Jun 27 2014 01: +0,0.03,6121
Jun 28 2014 01: +0,0.03,3184
Jun 29 2014 01: +0,0.03,3545
Jun 30 2014 01: +0,0.03,4075
Jul 01 2014 01: +0,0.03,4889
Jul 02 2014 01: +0,0.03,4609
Jul 03 2014 01: +0,0.03,3488
Jul 04 2014 01: +0,0.03,2834
Jul 05 2014 01: +0,0.03,3289
Jul 06 2014 01: +0,0.03,3276
Jul 07 2014 01: +0,0.03,3287
Jul 08 2014 01: +0,0.03,3284
Jul 09 2014 01: +0,0.03,2943
Jul 10 2014 01: +0,0.03,4305
Jul 11 2014 01: +0,0.03,3500
Jul 12 2014 01: +0,0.03,3467
Jul 13 2014 01: +0,0.03,4759
Jul 14 2014 01: +0,0.03,4615
Jul 15 2014 01: +0,0.03,4577
Jul 16 2014 01: +0,0.03,4682
Jul 17 2014 01: +0,0.03,5010
Jul 18 2014 01: +0,0.03,4542
Jul 19 2014 01: +0,0.03,5037
Jul 20 2014 01: +0,0.03,4031
Jul 21 2014 01: +0,0.03,4031
Jul 22 2014 01: +0,0.03,4076
Jul 23 2014 01: +0,0.03,4149
Jul 24 2014 01: +0,0.03,4150
Jul 25 2014 01: +0,0.03,5650
Jul 26 2014 01: +0,0.03,4660
Jul 27 2014 01: +0,0.03,5164
Jul 28 2014 01: +0,0.03,5438
Jul 29 2014 01: +0,0.03,5867
Jul 30 2014 01: +0,0.03,5545
Jul 31 2014 01: +0,0.03,4868
Aug 01 2014 01: +0,0.03,5500
Aug 02 2014 01: +0,0.03,5741
Aug 03 2014 01: +0,0.03,5825
Aug 04 2014 01: +0,0.03,5789
Aug 05 2014 01: +0,0.03,5576
Aug 06 2014 01: +0,0.03,4985
Aug 07 2014 01: +0,0.03,5167
Aug 08 2014 01: +0,0.03,4867
Aug 09 2014 01: +0,0.03,5360
Aug 10 2014 01: +0,0.03,4864
Aug 11 2014 01: +0,0.03,5304
Aug 12 2014 01: +0,0.03,5704
Aug 13 2014 01: +0,0.03,5201
Aug 14 2014 01: +0,0.03,5925
Aug 15 2014 01: +0,0.03,6064
Aug 16 2014 01: +0,0.03,6582
Aug 17 2014 01: +0,0.03,10474
Aug 18 2014 01: +0,0.03,8826
Aug 19 2014 01: +0,0.03,16457
Aug 20 2014 01: +0,0.03,7492
Aug 21 2014 01: +0,0.03,5516
Aug 22 2014 01: +0,0.03,6027
Aug 23 2014 01: +0,0.03,6226
Aug 24 2014 01: +0,0.03,6063
Aug 25 2014 01: +0,0.03,6752
Aug 26 2014 01: +0,0.03,6070
Aug 27 2014 01: +0,0.03,6825
Aug 28 2014 01: +0,0.03,8606
Aug 29 2014 01: +0,0.03,7152
Aug 30 2014 01: +0,0.03,8486
