Date,Price,Quatity Sold
Feb 06 2014 01: +0,2.772,11200
Feb 07 2014 01: +0,1.484,11569
Feb 08 2014 01: +0,0.895,13317
Feb 09 2014 01: +0,0.556,15395
Feb 10 2014 01: +0,0.447,12011
Feb 11 2014 01: +0,0.373,11519
Feb 12 2014 01: +0,0.143,15923
Feb 13 2014 01: +0,0.049,20170
Feb 14 2014 01: +0,0.03,20132
Feb 15 2014 01: +0,0.03,20779
Feb 16 2014 01: +0,0.03,14197
Feb 17 2014 01: +0,0.03,9805
Feb 18 2014 01: +0,0.03,9395
Feb 19 2014 01: +0,0.03,8583
Feb 20 2014 01: +0,0.03,5617
Feb 21 2014 01: +0,0.03,5795
Feb 22 2014 01: +0,0.03,7185
Feb 23 2014 01: +0,0.03,6697
Feb 24 2014 01: +0,0.03,5813
Feb 25 2014 01: +0,0.03,5476
Feb 26 2014 01: +0,0.03,5868
Feb 27 2014 01: +0,0.03,6626
Feb 28 2014 01: +0,0.03,6998
Mar 01 2014 01: +0,0.03,6492
Mar 02 2014 01: +0,0.03,5834
Mar 03 2014 01: +0,0.03,4911
Mar 04 2014 01: +0,0.03,4517
Mar 05 2014 01: +0,0.03,4644
Mar 06 2014 01: +0,0.03,2821
Mar 07 2014 01: +0,0.03,5311
Mar 08 2014 01: +0,0.03,5833
Mar 09 2014 01: +0,0.03,6289
Mar 10 2014 01: +0,0.03,3506
Mar 11 2014 01: +0,0.03,1896
Mar 12 2014 01: +0,0.03,1825
Mar 13 2014 01: +0,0.03,1460
Mar 14 2014 01: +0,0.03,2058
Mar 15 2014 01: +0,0.03,4435
Mar 16 2014 01: +0,0.03,4590
Mar 17 2014 01: +0,0.03,3177
Mar 18 2014 01: +0,0.03,2697
Mar 19 2014 01: +0,0.03,2731
Mar 20 2014 01: +0,0.03,2662
Mar 21 2014 01: +0,0.03,3129
Mar 22 2014 01: +0,0.03,4037
Mar 23 2014 01: +0,0.03,4303
Mar 24 2014 01: +0,0.03,3475
Mar 25 2014 01: +0,0.03,1917
Mar 26 2014 01: +0,0.03,3122
Mar 27 2014 01: +0,0.03,3039
Mar 28 2014 01: +0,0.03,2869
Mar 29 2014 01: +0,0.03,3566
Mar 30 2014 01: +0,0.03,3555
Mar 31 2014 01: +0,0.03,3228
Apr 01 2014 01: +0,0.03,2405
Apr 02 2014 01: +0,0.03,2761
Apr 03 2014 01: +0,0.03,2956
Apr 04 2014 01: +0,0.03,3351
Apr 05 2014 01: +0,0.03,3572
Apr 06 2014 01: +0,0.03,3458
Apr 07 2014 01: +0,0.03,2857
Apr 08 2014 01: +0,0.03,3114
Apr 09 2014 01: +0,0.03,2626
